gen,filename,PCE,donor
5,63_57_27,15.105654,PBQx-TF,
5,0_135_0,15.102963,PBCT-2F,
5,63_78_27,15.080629,PBQx-TF,
5,63_78_63,15.078227,PBQx-TF,
5,0_51_15,15.026064,PBQx-TF,
5,62_51_2,15.000993,PBQx-TF,
5,63_51_27,14.999536,PBQx-TF,
5,63_78_58,14.962017,PBQx-TF,
5,57_57_57,14.824835,PBQx-TF,
5,63_22_2,14.591889,PBDB-TF,
5,0_78_40,14.587386,PBQx-TF,
5,12_78_53,14.554852,PBQx-TF,
5,12_55_0,12.259956,PBDB-T-SF,
6,64_51_0,15.811566,PBDB-TF,
6,61_51_0,15.737260,PBDB-TF,
6,11_51_0,15.722124,PBQx-TF,
6,0_51_0,15.684544,PBQx-TF,
6,62_51_0,15.664928,PBQx-TF,
6,12_51_0,15.657566,PBQx-TF,
6,57_51_0,15.608418,PBQx-TF,
6,62_51_62,15.605701,PBQx-TF,
6,0_51_59,15.572056,PBQx-TF,
6,11_135_0,15.431553,PBDB-TF,
6,63_51_0,15.411097,PBQx-TF,
6,63_78_0,15.393159,PBDB-TF,
6,63_51_15,15.380984,PBQx-TF,
6,57_51_61,15.371995,PBQx-TF,
6,57_51_15,15.322968,PBQx-TF,
6,0_78_0,15.309044,D18,
6,12_78_0,15.291364,PBDB-TF,
6,0_78_49,15.280427,PBQx-TF,
6,57_51_62,15.228471,PBQx-TF,
6,1_78_0,15.227913,PBQx-TF,
6,0_57_66,15.222731,PBDB-TF,
6,0_57_0,15.196008,PBDB-TF,
6,63_57_61,15.194318,PBDB-TF,
6,63_57_0,15.189684,PBDB-TF,
6,61_22_2,15.167534,PBDB-TF,
6,62_135_0,15.163016,PBQx-TF,
6,0_78_18,14.940110,PBQx-TF,
6,63_78_4,14.920753,PBQx-TF,
6,63_78_3,14.911785,PBQx-TF,
6,47_51_0,14.830336,PBQx-TF,
6,63_0_0,13.495134,PBQx-TF,
6,62_80_0,12.213186,PBDB-T-SF,
