gen,filename,PCE,donor
5,65_92_25,15.787735,PBCT-2F,
5,47_26_26,15.653589,PBCT-2F,
5,33_92_62,15.633715,PBCT-2F,
5,6_92_6,15.591156,PBCT-2F,
5,6_21_6,15.447246,PBCT-2F,
5,39_44_20,15.329344,PBCT-2F,
5,39_96_25,14.964974,PBB-F,
5,17_92_35,14.806032,PBCT-2F,
5,48_92_25,14.787714,PBCT-2F,
5,33_62_62,14.326188,PBCT-2F,
5,47_15_26,13.254541,PBB-F,
5,14_6_6,13.234229,PBB-F,
6,39_100_62,17.787624,PBCT-2F,
6,39_100_6,17.645229,PBCT-2F,
6,39_21_39,17.449371,PBCT-2F,
6,39_92_39,17.403782,PBCT-2F,
6,39_100_29,17.306808,PBCT-2F,
6,39_100_35,17.244961,PBCT-2F,
6,39_26_29,16.961185,PBCT-2F,
6,39_100_20,16.846187,PBCT-2F,
6,39_92_62,16.770927,PBCT-2F,
6,65_100_27,16.683390,PBCT-2F,
6,27_100_27,16.561280,PBCT-2F,
6,39_21_62,16.491714,PBCT-2F,
6,39_92_29,16.428987,PBCT-2F,
6,39_21_6,16.414683,PBCT-2F,
6,39_21_29,16.283907,PBCT-2F,
6,39_92_35,16.256841,PBCT-2F,
6,39_21_20,16.253807,PBCT-2F,
6,14_100_25,16.213809,PBCT-2F,
6,39_92_20,16.204434,PBCT-2F,
6,39_21_35,16.163877,PBCT-2F,
6,15_100_35,16.155349,PBCT-2F,
6,65_100_20,15.958381,PBCT-2F,
6,27_21_27,15.221251,PBCT-2F,
6,47_92_29,15.220164,PBCT-2F,
6,39_29_29,15.107977,PBB-F,
6,39_35_35,15.096302,PBCT-2F,
6,31_92_62,15.010579,PBCT-2F,
6,14_21_25,14.976095,PBCT-2F,
6,39_90_62,14.677808,PBB-F,
6,13_21_27,14.663763,PBCT-2F,
6,39_20_20,14.657031,PBCT-2F,
6,65_29_29,14.191431,PBB-F,
7,39_100_39,18.661747,PBCT-2F,
7,39_100_39,18.661747,PBCT-2F,
7,65_100_39,17.831325,PBCT-2F,
7,39_100_62,17.787624,PBCT-2F,
7,39_100_6,17.645229,PBCT-2F,
7,39_100_27,17.483970,PBCT-2F,
7,39_21_39,17.449371,PBCT-2F,
7,39_92_39,17.403782,PBCT-2F,
7,39_100_38,17.378662,PBCT-2F,
7,39_100_29,17.306808,PBCT-2F,
7,39_100_35,17.244961,PBCT-2F,
7,65_100_6,16.992478,PBCT-2F,
7,39_26_29,16.961185,PBCT-2F,
7,39_100_20,16.846187,PBCT-2F,
7,39_92_62,16.770927,PBCT-2F,
7,65_100_27,16.683390,PBCT-2F,
7,39_92_25,16.589292,PBCT-2F,
7,39_92_6,16.562476,PBCT-2F,
7,27_100_27,16.561280,PBCT-2F,
7,39_92_27,16.509287,PBCT-2F,
7,39_21_62,16.491714,PBCT-2F,
7,39_92_29,16.428987,PBCT-2F,
7,39_21_6,16.414683,PBCT-2F,
7,39_92_36,16.316217,PBCT-2F,
7,39_21_29,16.283907,PBCT-2F,
7,39_92_35,16.256841,PBCT-2F,
7,65_92_35,15.536521,PBCT-2F,
7,65_92_35,15.536521,PBCT-2F,
7,39_29_29,15.107977,PBB-F,
7,39_29_29,15.107977,PBB-F,
7,39_91_20,15.003589,PBB-F,
7,39_6_6,14.581394,PBB-F,
8,39_100_39,18.661747,PBCT-2F,
8,39_100_39,18.661747,PBCT-2F,
8,39_26_39,18.229216,PBCT-2F,
8,65_100_39,17.831325,PBCT-2F,
8,39_100_62,17.787624,PBCT-2F,
8,39_100_6,17.645229,PBCT-2F,
8,39_100_60,17.530303,PBCT-2F,
