gen,filename,PCE,donor
6,26_51_46,15.037893,PBQx-TF,
6,28_24_28,14.968835,D18,
6,26_51_4,14.939398,PBQx-TF,
6,64_22_4,14.935851,PBQx-TF,
6,66_103_16,14.925058,D18,
6,64_51_16,14.906058,D18,
6,26_22_4,14.846090,PBQx-TF,
6,22_51_64,14.833536,D18,
6,64_92_64,14.806364,D18,
6,16_51_64,14.783017,D18,
6,7_51_64,14.751051,D18,
6,28_22_4,14.749102,PBQx-TF,
6,28_103_4,14.448869,D18,
6,64_22_16,14.281693,D18,
6,64_39_39,13.422430,PBB-F,
6,26_77_64,12.995439,PBQx-TF,
6,64_29_34,12.764258,PBQx-TF,
6,26_4_4,12.288391,D18,
6,26_4_4,12.288391,D18,
7,64_51_64,16.096771,D18,
7,64_51_64,16.096771,D18,
7,64_51_64,16.096771,D18,
7,26_51_64,15.682137,D18,
7,64_34_64,15.592783,D18,
7,64_51_46,15.550431,D18,
7,28_24_64,15.451507,D18,
7,57_34_34,15.447679,PBQx-TF,
7,64_133_34,15.433553,D18,
7,64_133_4,15.424981,D18,
7,64_34_34,15.415621,PBQx-TF,
7,64_133_39,15.397912,D18,
7,64_133_31,15.360595,D18,
7,28_133_39,15.308733,PBQx-TF,
7,26_133_64,15.295705,D18,
7,64_34_29,15.249109,D18,
7,26_133_39,15.160914,D18,
7,64_51_15,15.118112,D18,
7,26_51_46,15.037893,PBQx-TF,
7,64_34_51,15.010183,D18,
7,28_24_28,14.968835,D18,
7,26_51_4,14.939398,PBQx-TF,
7,26_24_26,14.781020,PBQx-TF,
7,26_51_45,14.775795,PBQx-TF,
7,40_51_28,14.756131,PBQx-TF,
7,52_51_4,14.563597,PBQx-TF,
7,64_34_52,14.498870,D18,
7,32_24_64,14.461577,D18,
7,26_34_64,14.328219,D18,
7,26_31_28,13.390681,D18,
7,26_47_64,12.741663,D18,
7,28_30_34,12.629893,PBB-F,
8,64_51_64,16.096771,D18,
8,64_51_64,16.096771,D18,
8,64_51_64,16.096771,D18,
8,64_133_29,15.753433,D18,
8,26_51_64,15.682137,D18,
8,64_34_64,15.592783,D18,
8,64_51_46,15.550431,D18,
8,64_133_64,15.542807,D18,
8,64_133_64,15.542807,D18,
8,28_133_28,15.513629,D18,
8,28_24_64,15.451507,D18,
8,57_34_34,15.447679,PBQx-TF,
8,64_133_34,15.433553,D18,
8,64_133_4,15.424981,D18,
8,28_34_28,15.416802,PBQx-TF,
8,64_34_34,15.415621,PBQx-TF,
8,64_133_39,15.397912,D18,
8,64_133_31,15.360595,D18,
8,28_133_39,15.308733,PBQx-TF,
8,26_133_64,15.295705,D18,
8,64_24_64,15.291687,D18,
8,64_34_29,15.249109,D18,
8,64_133_15,15.194758,D18,
8,28_133_31,15.043865,D18,
8,64_51_14,15.015552,D18,
8,64_51_50,14.787655,D18,
8,64_34_31,14.753122,D18,
8,57_34_64,14.747414,PBQx-TF,
8,64_51_48,14.619749,D18,
8,64_34_15,14.619531,D18,
8,64_133_13,14.442571,D18,
8,57_3_39,12.565197,D18,
9,64_51_0,16.352097,D18,
9,64_51_64,16.096771,D18,
9,64_51_64,16.096771,D18,
9,64_51_64,16.096771,D18,
9,64_133_28,15.845322,D18,
9,64_51_28,15.834367,D18,
9,64_133_29,15.753433,D18,
9,64_2_28,15.728609,D18,
9,26_51_64,15.682137,D18,
9,64_34_64,15.592783,D18,
9,64_51_46,15.550431,D18,
9,64_133_64,15.542807,D18,
9,64_133_64,15.542807,D18,
9,28_133_28,15.513629,D18,
9,28_24_64,15.451507,D18,
9,57_34_34,15.447679,PBQx-TF,
9,64_133_34,15.433553,D18,
9,64_133_4,15.424981,D18,
9,28_34_28,15.416802,PBQx-TF,
9,64_34_34,15.415621,PBQx-TF,
9,64_135_64,15.399322,D18,
9,64_127_64,15.380155,D18,
9,64_133_46,15.314045,D18,
9,64_24_64,15.291687,D18,
9,64_34_29,15.249109,D18,
9,64_133_3,15.222876,D18,
9,64_34_58,15.080878,D18,
9,64_51_36,14.710682,D18,
9,57_34_4,14.636385,PBQx-TF,
9,64_67_34,13.522020,PBQx-TF,
9,64_29_29,13.089966,PBQx-TF,
9,64_58_64,13.000253,PBB-F,
10,64_51_0,16.352097,D18,
10,64_51_9,16.180554,D18,
10,64_51_64,16.096771,D18,
10,64_51_64,16.096771,D18,
10,64_51_64,16.096771,D18,
10,64_133_28,15.845322,D18,
10,64_51_28,15.834367,D18,
10,64_51_29,15.820432,D18,
10,64_133_29,15.753433,D18,
10,64_2_28,15.728609,D18,
10,26_51_64,15.682137,D18,
10,64_34_64,15.592783,D18,
10,64_51_46,15.550431,D18,
10,64_133_64,15.542807,D18,
10,64_133_64,15.542807,D18,
10,28_133_28,15.513629,D18,
10,28_51_2,15.482149,PBQx-TF,
10,28_24_64,15.451507,D18,
10,57_34_34,15.447679,PBQx-TF,
10,64_34_34,15.415621,PBQx-TF,
10,64_133_46,15.314045,D18,
10,64_24_64,15.291687,D18,
10,5_133_64,15.143130,D18,
10,64_34_46,15.076064,PBQx-TF,
10,30_51_29,15.043540,PBQx-TF,
10,57_133_34,15.008154,D18,
10,64_51_42,14.791269,D18,
10,28_133_7,14.575243,PBQx-TF,
10,64_2_50,14.199561,PBQx-TF,
10,64_29_29,13.089966,PBQx-TF,
10,64_28_28,12.727032,D18,
10,57_45_64,12.322138,P1_yang,
11,64_51_0,16.352097,D18,
11,64_51_9,16.180554,D18,
11,64_51_64,16.096771,D18,
11,64_51_64,16.096771,D18,
11,64_51_64,16.096771,D18,
11,28_51_28,15.973630,D18,
11,28_51_28,15.973630,D18,
11,64_133_28,15.845322,D18,
11,64_51_28,15.834367,D18,
11,64_2_64,15.827324,D18,
11,64_51_29,15.820432,D18,
11,64_133_29,15.753433,D18,
11,64_133_0,15.736178,D18,
11,64_2_28,15.728609,D18,
11,64_51_57,15.687828,D18,
11,26_51_64,15.682137,D18,
11,64_34_64,15.592783,D18,
11,64_133_9,15.574363,D18,
11,64_51_46,15.550431,D18,
11,64_51_25,15.546923,D18,
11,64_51_3,15.543741,D18,
11,64_133_64,15.542807,D18,
11,64_133_64,15.542807,D18,
11,28_133_28,15.513629,D18,
11,64_51_23,15.419355,D18,
11,64_34_28,15.311568,D18,
11,64_2_49,15.232976,D18,
11,64_51_40,14.823869,PBQx-TF,
11,30_51_28,14.822468,D18,
11,64_133_59,14.646469,D18,
11,64_28_28,12.727032,D18,
11,64_75_28,12.695094,D18,
12,64_51_0,16.352097,D18,
12,64_51_9,16.180554,D18,
12,64_51_64,16.096771,D18,
12,64_51_64,16.096771,D18,
12,64_51_64,16.096771,D18,
12,28_51_28,15.973630,D18,
12,28_51_28,15.973630,D18,
12,64_133_28,15.845322,D18,
12,64_115_0,15.836132,D18,
12,64_51_28,15.834367,D18,
12,64_2_64,15.827324,D18,
12,64_51_29,15.820432,D18,
12,64_2_12,15.814375,D18,
12,64_133_29,15.753433,D18,
12,64_133_0,15.736178,D18,
12,64_2_28,15.728609,D18,
12,64_51_57,15.687828,D18,
12,26_51_64,15.682137,D18,
12,64_51_25,15.546923,D18,
12,64_133_64,15.542807,D18,
12,28_133_28,15.513629,D18,
12,64_2_57,15.244415,D18,
12,46_51_9,15.078326,PBQx-TF,
12,59_51_9,15.068459,D18,
12,64_51_60,14.966421,D18,
12,26_51_50,14.918307,PBQx-TF,
12,28_51_59,14.704515,D18,
12,40_133_29,14.674281,D18,
12,26_51_26,14.472978,D18,
12,64_0_0,14.405002,D18,
12,64_93_64,12.960655,D18,
12,64_50_64,12.348051,D18,
13,64_51_0,16.352097,D18,
13,64_51_9,16.180554,D18,
13,64_51_64,16.096771,D18,
13,64_51_64,16.096771,D18,
13,64_51_64,16.096771,D18,
13,28_51_28,15.973630,D18,
13,28_51_28,15.973630,D18,
13,64_133_28,15.845322,D18,
13,64_115_0,15.836132,D18,
13,64_51_28,15.834367,D18,
13,64_2_64,15.827324,D18,
13,64_51_29,15.820432,D18,
13,64_2_12,15.814375,D18,
13,64_133_29,15.753433,D18,
13,64_133_0,15.736178,D18,
13,64_2_28,15.728609,D18,
13,64_133_64,15.542807,D18,
13,64_133_64,15.542807,D18,
13,28_133_28,15.513629,D18,
13,28_51_9,15.458038,D18,
13,64_51_12,15.436568,D18,
13,64_26_28,15.116475,D18,
13,2_2_64,15.096144,PBQx-TF,
13,28_51_18,14.950862,D18,
13,52_51_29,14.745854,PBQx-TF,
13,64_0_0,14.405002,D18,
13,64_12_12,13.255265,D18,
13,64_29_29,13.089966,PBQx-TF,
13,64_9_64,12.784800,PBB-F,
13,64_28_28,12.727032,D18,
13,28_16_28,12.457591,PBQx-TF,
13,64_46_64,12.425446,PBB-F,
14,64_51_0,16.352097,D18,
14,64_51_9,16.180554,D18,
14,64_51_64,16.096771,D18,
14,64_51_64,16.096771,D18,
14,64_51_64,16.096771,D18,
14,28_51_28,15.973630,D18,
14,28_51_28,15.973630,D18,
14,64_133_28,15.845322,D18,
14,64_115_0,15.836132,D18,
14,64_51_28,15.834367,D18,
14,64_2_64,15.827324,D18,
14,64_51_29,15.820432,D18,
14,64_2_12,15.814375,D18,
14,64_133_29,15.753433,D18,
14,64_133_0,15.736178,D18,
14,64_2_28,15.728609,D18,
14,64_2_0,15.701750,D18,
14,64_2_0,15.701750,D18,
14,28_51_0,15.689542,D18,
14,28_51_64,15.681262,D18,
14,64_133_64,15.542807,D18,
14,28_133_28,15.513629,D18,
14,65_51_64,15.473281,D18,
14,28_133_0,15.392923,D18,
14,64_78_9,15.282022,D18,
14,64_115_55,15.058493,PBQx-TF,
14,28_51_16,14.531979,D18,
14,64_64_28,13.812406,D18,
14,64_68_28,13.575004,PBQx-TF,
14,64_9_9,12.806935,D18,
14,64_28_28,12.727032,D18,
14,64_28_28,12.727032,D18,
15,64_51_0,16.352097,D18,
15,64_51_9,16.180554,D18,
15,66_51_0,16.110812,D18,
15,64_51_64,16.096771,D18,
15,64_51_64,16.096771,D18,
15,64_51_64,16.096771,D18,
15,28_51_28,15.973630,D18,
15,28_51_28,15.973630,D18,
15,64_133_28,15.845322,D18,
15,64_115_0,15.836132,D18,
15,64_51_28,15.834367,D18,
15,64_2_64,15.827324,D18,
15,64_51_29,15.820432,D18,
15,64_2_12,15.814375,D18,
15,64_133_29,15.753433,D18,
15,64_51_39,15.749982,D18,
15,64_133_0,15.736178,D18,
15,64_2_28,15.728609,D18,
15,28_51_64,15.681262,D18,
15,28_51_64,15.681262,D18,
15,28_115_0,15.553890,D18,
15,64_133_64,15.542807,D18,
15,64_133_64,15.542807,D18,
15,64_133_64,15.542807,D18,
15,64_51_12,15.436568,D18,
15,64_115_9,15.290786,D18,
15,28_51_1,15.100874,D18,
15,64_118_28,14.928539,PBQx-TF,
15,64_0_0,14.405002,D18,
15,28_0_28,14.098260,D18,
15,64_28_28,12.727032,D18,
15,64_91_28,12.589274,D18,
16,64_51_0,16.352097,D18,
16,64_51_9,16.180554,D18,
16,66_51_0,16.110812,D18,
16,64_51_64,16.096771,D18,
16,64_51_64,16.096771,D18,
16,64_51_64,16.096771,D18,
16,28_51_28,15.973630,D18,
16,28_51_28,15.973630,D18,
16,64_133_28,15.845322,D18,
16,64_115_0,15.836132,D18,
16,64_51_28,15.834367,D18,
16,64_2_64,15.827324,D18,
16,64_51_29,15.820432,D18,
16,64_2_12,15.814375,D18,
16,64_133_29,15.753433,D18,
16,64_51_39,15.749982,D18,
16,64_2_25,15.711611,D18,
16,64_115_12,15.425581,PBQx-TF,
16,64_51_8,15.365814,D18,
16,64_2_9,15.205370,D18,
16,64_51_40,14.823869,PBQx-TF,
16,64_51_10,14.749627,PBQx-TF,
16,64_133_53,14.650469,PBQx-TF,
16,64_0_0,14.405002,D18,
16,64_51_21,14.250075,PBQx-TF,
16,64_2_21,13.973278,D18,
16,66_39_39,13.663920,D18,
16,64_39_39,13.422430,PBB-F,
16,64_99_29,13.115893,D18,
16,64_74_29,13.032774,D18,
16,64_28_28,12.727032,D18,
16,64_27_64,12.542265,PBB-F,
17,64_51_0,16.352097,D18,
17,64_51_9,16.180554,D18,
17,66_51_0,16.110812,D18,
17,64_51_64,16.096771,D18,
17,64_51_64,16.096771,D18,
17,64_51_64,16.096771,D18,
17,28_51_28,15.973630,D18,
17,28_51_28,15.973630,D18,
17,64_2_61,15.854116,PBDB-TF,
17,64_133_28,15.845322,D18,
17,64_115_0,15.836132,D18,
17,64_51_28,15.834367,D18,
17,64_2_64,15.827324,D18,
17,28_51_25,15.820620,D18,
17,64_51_29,15.820432,D18,
17,64_2_12,15.814375,D18,
17,64_51_63,15.789256,D18,
17,64_133_29,15.753433,D18,
17,64_51_39,15.749982,D18,
17,66_2_0,15.706357,D18,
17,64_51_62,15.641187,D18,
17,28_51_29,15.619077,D18,
17,41_51_64,15.408227,D18,
17,64_51_18,15.375910,D18,
17,64_115_9,15.290786,D18,
17,64_133_1,15.215654,D18,
17,28_51_57,15.113529,D18,
17,51_51_64,15.050496,D18,
17,64_2_58,14.540767,D18,
17,64_92_9,14.119947,D18,
17,64_28_28,12.727032,D18,
17,64_128_28,12.432749,D18,
18,64_51_0,16.352097,D18,
18,64_51_9,16.180554,D18,
18,66_51_0,16.110812,D18,
18,64_51_64,16.096771,D18,
18,64_51_64,16.096771,D18,
18,64_51_64,16.096771,D18,
18,64_51_61,15.978183,D18,
18,64_51_61,15.978183,D18,
18,28_51_28,15.973630,D18,
18,28_51_28,15.973630,D18,
18,64_2_61,15.854116,PBDB-TF,
18,64_133_28,15.845322,D18,
18,64_115_0,15.836132,D18,
18,64_51_28,15.834367,D18,
18,64_2_64,15.827324,D18,
18,28_51_25,15.820620,D18,
18,64_51_29,15.820432,D18,
18,64_2_12,15.814375,D18,
18,28_2_64,15.750660,D18,
18,28_2_54,15.567652,D18,
18,64_51_46,15.550431,D18,
18,64_51_25,15.546923,D18,
18,64_133_64,15.542807,D18,
18,28_51_24,15.051551,PBQx-TF,
18,64_115_29,15.045398,D18,
18,64_51_14,15.015552,D18,
18,64_133_36,14.845646,D18,
18,24_2_12,14.785263,PBQx-TF,
18,14_2_64,14.669256,PBQx-TF,
18,64_28_28,12.727032,D18,
18,64_28_28,12.727032,D18,
18,64_17_64,12.656800,D18,
19,64_51_0,16.352097,D18,
19,64_51_9,16.180554,D18,
19,66_51_61,16.150462,D18,
19,66_51_28,16.128192,D18,
19,66_51_0,16.110812,D18,
19,64_51_64,16.096771,D18,
19,64_51_64,16.096771,D18,
19,64_51_64,16.096771,D18,
19,64_51_61,15.978183,D18,
19,64_51_61,15.978183,D18,
19,28_51_28,15.973630,D18,
19,28_51_28,15.973630,D18,
19,64_2_61,15.854116,PBDB-TF,
19,64_133_28,15.845322,D18,
19,64_115_0,15.836132,D18,
19,64_51_28,15.834367,D18,
19,64_2_64,15.827324,D18,
19,28_51_25,15.820620,D18,
19,28_2_64,15.750660,D18,
19,64_2_0,15.701750,D18,
19,28_51_64,15.681262,D18,
19,64_51_49,15.647125,D18,
19,64_51_25,15.546923,D18,
19,64_51_25,15.546923,D18,
19,64_2_29,15.530093,D18,
19,28_2_61,15.349925,D18,
19,38_51_28,14.971178,PBQx-TF,
19,64_51_53,14.669468,PBQx-TF,
19,64_0_0,14.405002,D18,
19,28_125_25,14.056250,PBQx-TF,
19,64_61_61,13.007319,PBB-F,
19,64_98_28,12.393774,PBTA-PSF,
20,64_51_0,16.352097,D18,
20,64_51_9,16.180554,D18,
20,66_51_61,16.150462,D18,
20,66_51_28,16.128192,D18,
20,66_51_0,16.110812,D18,
20,64_51_64,16.096771,D18,
20,64_51_64,16.096771,D18,
20,64_51_64,16.096771,D18,
20,64_51_61,15.978183,D18,
20,64_51_61,15.978183,D18,
20,28_51_28,15.973630,D18,
20,28_51_28,15.973630,D18,
20,64_2_61,15.854116,PBDB-TF,
20,64_133_28,15.845322,D18,
20,64_115_0,15.836132,D18,
20,64_51_28,15.834367,D18,
20,64_2_64,15.827324,D18,
20,64_133_0,15.736178,D18,
20,28_51_0,15.689542,D18,
20,66_51_66,15.591469,D18,
20,64_51_46,15.550431,D18,
20,2_51_0,15.411816,D18,
20,28_51_41,15.364483,D18,
20,28_115_28,15.251465,D18,
20,64_115_3,15.148791,PBQx-TF,
20,55_51_0,14.916207,D18,
20,31_51_28,14.746338,PBQx-TF,
20,64_0_0,14.405002,D18,
20,66_51_53,14.326973,D18,
20,66_29_28,13.071464,D18,
20,64_61_61,13.007319,PBB-F,
20,28_9_9,12.593668,D18,
21,64_51_0,16.352097,D18,
21,64_51_9,16.180554,D18,
21,66_51_61,16.150462,D18,
21,66_51_28,16.128192,D18,
21,66_51_0,16.110812,D18,
21,64_51_64,16.096771,D18,
21,64_51_64,16.096771,D18,
21,64_51_64,16.096771,D18,
21,66_51_34,16.038354,D18,
21,64_51_61,15.978183,D18,
21,64_51_61,15.978183,D18,
21,28_51_28,15.973630,D18,
21,28_51_28,15.973630,D18,
21,64_51_33,15.939521,D18,
21,66_51_57,15.859643,D18,
21,64_2_61,15.854116,PBDB-TF,
21,64_133_28,15.845322,D18,
21,64_115_0,15.836132,D18,
21,64_51_28,15.834367,D18,
21,28_51_61,15.752956,D18,
21,44_51_61,15.712927,D18,
21,28_51_64,15.681262,D18,
21,64_115_28,15.593926,D18,
21,28_133_28,15.513629,D18,
21,64_133_61,15.510781,D18,
21,15_51_0,15.467288,D18,
21,64_108_9,15.314423,D18,
21,64_2_47,15.222926,D18,
21,22_51_61,14.998753,D18,
21,64_68_0,13.754676,D18,
21,66_28_28,12.833492,D18,
21,64_28_28,12.727032,D18,
22,64_51_0,16.352097,D18,
22,64_51_9,16.180554,D18,
22,66_51_61,16.150462,D18,
22,66_51_28,16.128192,D18,
22,66_51_0,16.110812,D18,
22,64_51_64,16.096771,D18,
22,64_51_64,16.096771,D18,
22,64_51_64,16.096771,D18,
22,9_51_0,16.043710,D18,
22,66_51_34,16.038354,D18,
22,64_51_61,15.978183,D18,
22,64_51_61,15.978183,D18,
22,28_51_28,15.973630,D18,
22,28_51_28,15.973630,D18,
22,64_51_33,15.939521,D18,
22,66_51_57,15.859643,D18,
22,64_2_61,15.854116,PBDB-TF,
22,64_51_28,15.834367,D18,
22,64_2_64,15.827324,D18,
22,64_2_54,15.671093,D18,
22,66_51_66,15.591469,D18,
22,64_34_34,15.415621,PBQx-TF,
22,66_126_61,15.358710,D18,
22,28_51_60,15.341812,D18,
22,24_51_28,15.333789,D18,
22,64_2_9,15.205370,D18,
22,66_51_39,15.184796,D18,
22,64_51_10,14.749627,PBQx-TF,
22,16_51_9,14.645397,D18,
22,66_0_0,14.105716,D18,
22,64_9_9,12.806935,D18,
22,28_61_61,12.763905,PBB-F,
23,64_51_0,16.352097,D18,
23,61_51_0,16.240479,PBDB-TF,
23,64_51_9,16.180554,D18,
23,66_51_61,16.150462,D18,
23,66_51_28,16.128192,D18,
23,66_51_0,16.110812,D18,
23,64_51_64,16.096771,D18,
23,64_51_64,16.096771,D18,
23,64_51_64,16.096771,D18,
23,9_51_0,16.043710,D18,
23,66_51_34,16.038354,D18,
23,64_51_61,15.978183,D18,
23,64_51_61,15.978183,D18,
23,28_51_28,15.973630,D18,
23,28_51_28,15.973630,D18,
23,15_51_61,15.963937,D18,
23,64_51_33,15.939521,D18,
23,66_51_33,15.902925,D18,
23,66_51_33,15.902925,D18,
23,66_51_57,15.859643,D18,
