gen,filename,PCE,donor
1,64_161_130_161_65,15.524441,PBB-F,
1,66_133_11_56_29,14.635176,PBCT-2F,
1,30_63_71_19_29,14.479935,PBCT-2F,
1,27_15_74_15_12,14.463696,PBB-F,
1,25_141_32_141_25,14.387859,PBCT-2F,
1,29_71_76_135_29,14.383624,D18,
1,62_12_5_12_62,14.252009,PBB-F,
1,55_25_143_35_60,14.183512,D18,
1,46_91_152_93_46,14.175286,PBB-F,
1,26_113_35_50_26,14.063348,PBCT-2F,
1,0_0_149_164_0,14.026808,PBB-F,
1,12_85_47_85_12,14.024418,PBB-F,
1,42_129_48_129_12,13.888429,PBB-F,
1,63_139_154_86_48,13.842963,PBB-F,
1,36_27_154_27_26,13.822204,PBB-F,
1,16_141_127_141_16,13.809762,PBB-F,
1,65_17_86_17_65,13.805501,PBB-F,
1,4_158_87_61_4,13.798794,PBB-F,
1,27_108_46_163_27,13.731304,PBB-F,
1,21_44_56_140_21,13.602757,PBB-F,
1,57_161_92_135_9,13.600087,PBB-F,
1,26_123_15_123_26,13.574495,PBB-F,
1,1_41_109_41_1,13.573303,PBB-F,
1,36_137_135_25_9,13.536758,PBB-F,
1,28_54_56_37_52,13.426219,PBB-F,
1,36_129_74_31_36,13.373328,PBB-F,
1,36_67_149_67_36,13.325943,PBB-F,
1,4_73_37_120_20,13.318233,PBB-F,
1,19_119_118_119_19,13.278333,PBB-F,
1,61_107_14_107_61,13.170059,PBB-F,
1,47_2_89_41_47,13.091066,PBB-F,
1,57_94_86_94_34,12.689728,PBB-F,
2,64_161_130_161_65,15.524441,PBB-F,
2,27_15_127_15_27,15.465149,D18,
2,66_133_71_56_29,14.770216,PBCT-2F,
2,66_133_11_56_29,14.635176,PBCT-2F,
2,29_129_71_129_29,14.572126,D18,
2,0_164_99_0_0,14.533948,PBCT-2F,
2,46_56_152_133_29,14.521188,PBCT-2F,
2,30_63_71_19_29,14.479935,PBCT-2F,
2,27_15_74_15_12,14.463696,PBB-F,
2,25_141_32_141_25,14.387859,PBCT-2F,
2,29_71_76_135_29,14.383624,D18,
2,29_161_76_161_65,14.382550,PBB-F,
2,29_91_152_93_29,14.278140,P2,
2,62_12_5_12_62,14.252009,PBB-F,
2,30_135_76_71_30,14.223910,D18,
2,55_25_143_35_60,14.183512,D18,
2,46_91_152_93_46,14.175286,PBB-F,
2,26_113_35_50_26,14.063348,PBCT-2F,
2,46_93_11_91_46,14.034827,PBB-F,
2,0_0_149_164_0,14.026808,PBB-F,
2,26_113_35_113_26,14.024966,PBCT-2F,
2,12_85_47_85_12,14.024418,PBB-F,
2,0_12_5_12_0,13.986296,PBB-F,
2,46_27_152_93_46,13.932239,PBB-F,
2,42_129_48_129_12,13.888429,PBB-F,
2,42_129_48_19_12,13.865722,D18,
2,41_85_47_85_41,13.864903,PBB-F,
2,63_139_154_86_48,13.842963,PBB-F,
2,36_27_154_27_26,13.822204,PBB-F,
2,16_141_127_141_16,13.809762,PBB-F,
2,48_86_154_86_48,13.540273,PBB-F,
2,12_161_74_51_56,13.363185,PBB-F,
3,64_161_130_161_65,15.524441,PBB-F,
3,27_15_127_15_27,15.465149,D18,
3,12_15_127_15_12,15.091514,PBCT-2F,
3,27_15_127_15_50,15.055098,D18,
3,65_133_152_133_64,14.957928,D18,
3,29_93_127_91_29,14.944224,P2,
3,66_133_71_56_29,14.770216,PBCT-2F,
3,66_133_11_56_29,14.635176,PBCT-2F,
3,25_15_74_4_25,14.618278,PBCT-2F,
3,25_141_71_19_29,14.596456,PBCT-2F,
3,0_56_11_133_29,14.588874,PBCT-2F,
3,29_133_5_133_21,14.573905,PBCT-2F,
3,29_129_71_129_29,14.572126,D18,
3,0_164_99_0_0,14.533948,PBCT-2F,
3,46_56_152_133_29,14.521188,PBCT-2F,
3,0_164_99_0_29,14.499306,PBCT-2F,
3,30_63_71_19_29,14.479935,PBCT-2F,
3,12_15_74_15_27,14.468809,PBB-F,
3,27_15_74_15_12,14.463696,PBB-F,
3,66_35_143_125_66,14.461330,PBCT-2F,
3,29_15_127_103_40,14.409159,PBB-F,
3,25_141_32_141_25,14.387859,PBCT-2F,
3,29_71_76_135_29,14.383624,D18,
3,66_56_5_56_66,14.382808,PBB-F,
3,29_161_76_161_65,14.382550,PBB-F,
3,29_91_152_93_29,14.278140,P2,
3,62_12_5_12_62,14.252009,PBB-F,
3,27_19_71_19_12,14.245970,D18,
3,30_135_76_71_30,14.223910,D18,
