donor,best PCE
185_61_111101,19.180644
100_215_010001,19.180515
1050_99_110000,19.180086
517_99_001110,19.179307
206_99_111100,19.178102
100_508_100111,19.164305
233_99_101001,19.159394
112_61_111011,19.154851
1024_99_101100,19.149451
100_1034_110010,19.14029
687_61_101111,19.132746
17_61_101111,19.130613
920_61_111001,19.130466
920_61_100111,19.122471
1145_99_011100,19.107639
1050_99_000101,19.101488
824_61_101111,19.101043
121_61_111101,19.098384
1050_99_101000,19.098369
1050_58_110011,19.093405
121_61_111011,19.090622
1050_99_000110,19.090449
1113_61_101111,19.083337
100_329_010110,19.079732
730_99_100011,19.079111
327_61_101111,19.073722
1118_61_110111,19.071514
920_99_000011,19.067308
1050_99_001001,19.064679
184_99_111000,19.0571
100_161_101100,19.056519
824_5_110011,19.056401
327_61_111101,19.056134
6_61_111011,19.055626
484_61_111101,19.050507
100_1173_010110,19.049811
1050_61_110011,19.049036
824_61_100111,19.043426
260_99_100100,19.039403
121_61_111110,19.037598
824_5_111011,19.027333
184_61_110111,19.026923
687_61_110111,19.025443
100_392_101100,19.025226
1050_99_001100,19.012564
327_61_111011,19.011601
383_99_100111,19.010029
100_40_011100,19.006808
17_61_111011,19.006592
1190_61_111011,19.00587
920_99_100010,19.001995
920_99_001010,18.995437
1050_5_101111,18.992521
263_61_111011,18.988922
1017_61_111101,18.986251
657_61_110111,18.985952
824_61_110011,18.984621
1050_61_101110,18.984219
1024_99_001110,18.977881
17_61_011111,18.967475
920_99_000101,18.967374
100_687_101100,18.963286
920_99_101000,18.960852
920_99_010100,18.956179
260_99_000101,18.946104
260_99_001010,18.945576
185_5_111011,18.935403
577_61_111011,18.934401
235_61_111101,18.925668
325_61_111101,18.910764
1050_5_110011,18.908841
1051_99_001110,18.906019
100_1093_100011,18.903158
687_1125_101111,18.902716
100_379_000111,18.900641
281_61_110011,18.899232
260_99_000011,18.892801
1050_5_111101,18.891084
920_99_011000,18.890351
577_5_111011,18.886153
1050_61_111010,18.884542
