gen,filename,PCE,donor
21,39_50_110_50_39,17.042561,D18
87,66_130_127_130_66,16.977959,D18
34,68_37_39,16.97303,D18
29,37_83_64,16.952576,D18
43,39_43_33_43_39,16.952338,D18
40,39_132_130_132_55,16.942524,D18
19,39_92_5,16.919488,D18
27,39_31_39,16.919406,D18
27,39_37_67,16.89125,D18
1,27_100_27,16.881912,D18
74,39_3_127_16_65,16.878013,D18
75,39_3_130_111_0,16.868503,D18
54,39_156_14_156_39,16.851627,D18
100,0_130_127_3_0,16.838185,D18
50,39_28_127_32_59,16.814203,D18
44,39_132_130_132_64,16.814038,D18
33,18_83_65,16.760683,D18
14,39_1_39,16.720318,D18
74,39_3_127_79_32,16.713782,D18
21,39_92_51,16.632941,D18
78,39_28_39,16.620423,D18
85,63_130_127_3_63,16.61881,D18
76,30_3_127_130_30,16.594704,D18
39,5_83_65,16.582288,D18
70,39_133_127_133_7,16.578939,D18
52,39_130_33_102_10,16.562844,D18
23,39_72_39,16.559676,D18
83,39_3_127_33_14,16.545517,D18
37,39_24_130_163_9,16.537784,D18
67,66_125_130_130_66,16.516628,D18
70,39_53_39,16.468608,D18
45,39_97_112_97_39,16.457416,D18
84,39_102_39,16.432351,D18
87,39_26_127_26_39,16.409325,D18
82,56_130_127_3_56,16.40926,D18
43,39_58_39,16.395273,D18
97,39_127_127_11_66,16.392774,D18
96,39_28_127_104_50,16.333265,D18
37,39_79_39,16.325359,D18
69,39_109_39,16.322206,D18
69,28_130_127_3_28,16.292216,D18
47,39_123_39,16.270891,D18
41,30_130_130_132_30,16.269807,D18
93,39_77_39,16.239949,D18
22,39_3_39,16.234462,D18
80,39_46_39,16.227734,D18
18,0_15_130_15_9,16.218087,D18
14,9_15_130_15_55,16.213933,D18
13,39_93_39,16.197586,D18
63,39_50_39,16.18639,D18
8,9_15_130_15_9,16.159676,D18
82,39_3_127_149_45,16.158937,D18
12,0_15_130_15_64,16.130382,D18
9,66_15_130_15_29,16.095213,D18
17,55_15_130_15_9,16.086779,D18
54,39_167_127_167_68,16.086425,D18
54,39_11_39,16.055255,D18
42,39_68_0,16.052854,D18
41,39_90_39,16.051004,D18
16,32_15_130_15_64,16.021545,D18
51,39_25_39,16.013846,D18
34,39_120_130_145_56,15.99576,D18
17,39_120_54,15.987999,D18
58,39_35_65,15.954882,D18
62,10_130_127_125_10,15.886714,D18
67,39_3_127_138_16,15.868233,D18
20,39_73_64,15.788105,D18
97,39_32_39,15.737938,D18
6,64_133_127_133_65,15.69205,D18
6,65_15_127_15_64,15.656591,D18
7,65_133_127_133_64,15.629532,D18
85,5_3_127_130_5,15.625401,D18
3,53_92_65,15.535307,D18
7,29_15_130_39_29,15.509835,D18
10,39_52_38,15.485956,D18
2,27_15_127_15_27,15.465149,D18
5,12_15_127_15_6,15.455297,D18
7,64_15_130_8_26,15.35776,D18
21,39_72_60,15.318398,D18
16,64_137_130_137_64,15.280814,D18
61,39_33_66,15.272877,D18
70,39_54_6,15.088728,D18
7,0_29_127_29_0,15.070209,D18
3,27_15_127_15_50,15.055098,D18
42,39_28_28,15.033066,D18
4,65_15_152_15_65,15.02936,D18
3,65_133_152_133_64,14.957928,D18
13,65_133_95_15_1,14.845243,D18
3,36_27_78_111_52,14.793408,D18
5,0_133_152_133_0,14.781437,D18
2,29_129_71_129_29,14.572126,D18
6,12_39_127_39_6,14.540574,D18
3,3_27_92_27_42,14.497095,D18
5,64_161_152_161_64,14.490172,D18
4,25_141_71_141_25,14.397077,D18
1,29_71_76_135_29,14.383624,D18
3,27_19_71_19_12,14.24597,D18
2,30_135_76_71_30,14.22391,D18
1,55_25_143_35_60,14.183512,D18
3,55_35_143_25_60,14.148108,D18
2,42_129_48_19_12,13.865722,D18
1,6_129_6,13.40575,D18
3,29_93_127_91_29,14.944224,P2
2,29_91_152_93_29,14.27814,P2
28,39_130_130_28_39,19.536959,PBB-F
26,39_28_130_28_39,19.451728,PBB-F
30,39_130_130_130_65,18.833067,PBB-F
52,39_130_130_130_9,18.717111,PBB-F
29,65_130_130_130_39,18.698296,PBB-F
37,39_130_130_130_33,18.688431,PBB-F
40,39_130_130_130_25,18.651315,PBB-F
84,39_130_130_130_32,18.619773,PBB-F
31,1_130_130_130_39,18.607584,PBB-F
31,39_130_130_130_44,18.602257,PBB-F
30,39_130_130_130_1,18.597946,PBB-F
30,56_130_130_130_39,18.576371,PBB-F
29,39_130_130_130_56,18.5687,PBB-F
