acceptor,best PCE
39_135_11,18.234605
39_125_130_159_39,18.234547
15_83_39,18.232004
39_28_130_150_39,18.231887
39_126_53,18.231417
39_130_27,18.230118
39_159_127_3_39,18.229496
39_78_43_130_39,18.228359
39_80_127_3_39,18.228089
39_154_130_133_39,18.225244
