GA,donor_filename,NFA_filename,predicted_PCE,donor_SMILES,NFA_SMILES
4,260_99_111101,39_126_39,20.777369,c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c(s1)c2cc(OC)c(OC)cc2c1C=Cc1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3),C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1cc2sc3c4c5c(nsn5)c5c6c(n(CC)c5c4n(c3c2[se]1)CC)c1c(s6)cc([se]1)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31
4,100_99_110010,39_126_39,20.775005,c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3),C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1cc2sc3c4c5c(nsn5)c5c6c(n(CC)c5c4n(c3c2[se]1)CC)c1c(s6)cc([se]1)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31
4,100_99_101010,39_126_39,20.766998,c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3),C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1cc2sc3c4c5c(nsn5)c5c6c(n(CC)c5c4n(c3c2[se]1)CC)c1c(s6)cc([se]1)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31
4,100_99_100101,39_126_39,20.71798,c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3),C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1cc2sc3c4c5c(nsn5)c5c6c(n(CC)c5c4n(c3c2[se]1)CC)c1c(s6)cc([se]1)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31
4,100_99_001110,39_126_39,20.717036,c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3),C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1cc2sc3c4c5c(nsn5)c5c6c(n(CC)c5c4n(c3c2[se]1)CC)c1c(s6)cc([se]1)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31
4,100_99_100011,39_126_39,20.700149,c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3),C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1cc2sc3c4c5c(nsn5)c5c6c(n(CC)c5c4n(c3c2[se]1)CC)c1c(s6)cc([se]1)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31
4,100_99_010010,39_126_39,20.698578,c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3),C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1cc2sc3c4c5c(nsn5)c5c6c(n(CC)c5c4n(c3c2[se]1)CC)c1c(s6)cc([se]1)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31
4,100_99_010110,39_126_39,20.694759,c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3),C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1cc2sc3c4c5c(nsn5)c5c6c(n(CC)c5c4n(c3c2[se]1)CC)c1c(s6)cc([se]1)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31
4,100_99_010001,39_126_39,20.688622,c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3),C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1cc2sc3c4c5c(nsn5)c5c6c(n(CC)c5c4n(c3c2[se]1)CC)c1c(s6)cc([se]1)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31
4,100_99_011100,39_126_39,20.666864,c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)c(F)c3)c3c(c(c4ccc(SCC)c(c4)F)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3)c1cc2c(c3ccc(SCC)[se]3)c3c(c(c4ccc(SCC)[se]4)c2s1)cc(s3),C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1cc2sc3c4c5c(nsn5)c5c6c(n(CC)c5c4n(c3c2[se]1)CC)c1c(s6)cc([se]1)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31
