wavelength,1.5 AM irrandiance,Normalized 1.5AM
382.5,0.36361,2.53E-01
383,0.32648,2.28E-01
383.5,0.31658,2.21E-01
384,0.36689,2.56E-01
384.5,0.44239,3.08E-01
385,0.48638,3.39E-01
385.5,0.46549,3.24E-01
386,0.44984,3.14E-01
386.5,0.46848,3.27E-01
387,0.47343,3.30E-01
387.5,0.46731,3.26E-01
388,0.4635,3.23E-01
388.5,0.46096,3.21E-01
389,0.50121,3.49E-01
389.5,0.55637,3.88E-01
390,0.58457,4.07E-01
390.5,0.59038,4.11E-01
391,0.62634,4.37E-01
391.5,0.63617,4.43E-01
392,0.58656,4.09E-01
392.5,0.48961,3.41E-01
393,0.35502,2.47E-01
393.5,0.28272,1.97E-01
394,0.3678,2.56E-01
394.5,0.50811,3.54E-01
395,0.60096,4.19E-01
395.5,0.64101,4.47E-01
396,0.56443,3.93E-01
396.5,0.41101,2.86E-01
397,0.31882,2.22E-01
397.5,0.47151,3.29E-01
398,0.63944,4.46E-01
398.5,0.75622,5.27E-01
399,0.80408,5.60E-01
399.5,0.8298,5.78E-01
400,0.83989,5.85E-01
401,0.87691,6.11E-01
402,0.91387,6.37E-01
403,0.88211,6.15E-01
404,0.89849,6.26E-01
405,0.87849,6.12E-01
406,0.85878,5.99E-01
407,0.84545,5.89E-01
408,0.88488,6.17E-01
409,0.94717,6.60E-01
410,0.8091,5.64E-01
411,0.9077,6.33E-01
412,0.96686,6.74E-01
413,0.92951,6.48E-01
414,0.92134,6.42E-01
415,0.95569,6.66E-01
416,0.98628,6.87E-01
417,0.96392,6.72E-01
418,0.92392,6.44E-01
419,0.96354,6.72E-01
420,0.88467,6.17E-01
421,1.0067,7.02E-01
422,0.99499,6.93E-01
423,0.96531,6.73E-01
424,0.96182,6.70E-01
425,0.99312,6.92E-01
426,0.96667,6.74E-01
427,0.9355,6.52E-01
428,0.94625,6.60E-01
429,0.87766,6.12E-01
430,0.70134,4.89E-01
431,0.63779,4.45E-01
432,1.0628,7.41E-01
433,0.9905,6.90E-01
434,0.91653,6.39E-01
435,1.007,7.02E-01
436,1.1061,7.71E-01
437,1.1306,7.88E-01
438,0.99368,6.93E-01
439,0.95753,6.67E-01
440,1.0993,7.66E-01
441,1.0859,7.57E-01
442,1.164,8.11E-01
443,1.1823,8.24E-01
444,1.1537,8.04E-01
445,1.1992,8.36E-01
446,1.0766,7.50E-01
447,1.2257,8.54E-01
448,1.2422,8.66E-01
449,1.2409,8.65E-01
