GA,NFA_index,donor_index,predicted_score,NFA_smiles,donor_SMILES
5,660,698,444.3105943,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,N1c2cscc2N(CC1)N1c2cscc2N(CC1)N1c2cscc2N(CC1)c1sc(c2c1cc(OC)c(OC)c2)N1c2cscc2N(CC1)N1c2cscc2N(CC1)
5,660,561,444.0074144,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1c2nc(c3c(c(c(OCC)c(c3F)F)F)F)c(c3c(F)c(F)c(OCC)c(F)c3F)nc2c(c(c1F)F)c1c2nc(c3c(c(c(OCC)c(c3F)F)F)F)c(c3c(F)c(F)c(OCC)c(F)c3F)nc2c(c(c1F)F)c1sc(c2c1cc(OC)cc2)c1sc(c2c1cc(OC)cc2)c1c2nc(c3c(c(c(OCC)c(c3F)F)F)F)c(c3c(F)c(F)c(OCC)c(F)c3F)nc2c(c(c1F)F)c1c2nc(c3c(c(c(OCC)c(c3F)F)F)F)c(c3c(F)c(F)c(OCC)c(F)c3F)nc2c(c(c1F)F)
5,660,890,443.2138371,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1sc(c2c1c(C(F)(F)F)ccc2)c1sc(c2c1c(C(F)(F)F)ccc2)c1sc(c2c1nc(OCC)c(CN)n2)c1sc(c2c1nc(OCC)c(CN)n2)c1sc(c2c1c(C(F)(F)F)ccc2)c1sc(c2c1c(C(F)(F)F)ccc2)
5,660,889,443.0213346,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,N1[C@H]2[C@H](N[C@@H]3[C@@H](CSC3)N2)N(S1)N1[C@H]2[C@H](N[C@@H]3[C@@H](CSC3)N2)N(S1)N1[C@H]2[C@H](N[C@@H]3[C@@H](CSC3)N2)N(S1)N1[C@H]2[C@H](N[C@@H]3[C@@H](CSC3)N2)N(S1)c1sc(c2c1nc(OCC)c(CN)n2)c1sc(c2c1nc(OCC)c(CN)n2)
5,660,928,441.3386869,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1cc(OCC)c(s1)c1cc(OCC)c(s1)c1sc(c2c1cc(OC)cc2)c1sc(c2c1cc(OC)cc2)c1cc(OCC)c(s1)c1cc(OCC)c(s1)
5,660,373,439.163712,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1c(OCC)c(OCC)c(OCC)cc1c1c(OCC)c(OCC)c(OCC)cc1c1sc(c2c1cc(OC)cc2)c1sc(c2c1cc(OC)cc2)c1c(OCC)c(OCC)c(OCC)cc1c1c(OCC)c(OCC)c(OCC)cc1
5,660,806,433.7378706,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1sc(c2c1[C@H](C(=O)C)CCC2)c1sc(c2c1[C@H](C(=O)C)CCC2)c1sc(c2c1[C@H](C(=O)C)CCC2)c1sc(c2c1cc(C)c(OC)c2)c1sc(c2c1cc(C)c(OC)c2)c1sc(c2c1[C@H](C(=O)C)CCC2)
5,660,879,433.6534472,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,C(C(=O)1)C(=O)C1c1sc(c2c1cc(C)c(OC)c2)c1sc(c2c1cc(C)c(OC)c2)C(C(=O)1)C(=O)C1C(C(=O)1)C(=O)C1C(C(=O)1)C(=O)C1
5,660,756,433.2496947,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1sc(c2c1[C@H](C(=O)C(F)(F)F)CCC2)c1sc(c2c1[C@H](C(=O)C(F)(F)F)CCC2)c1sc(c2c1cc(OC)c(OC)c2)c1sc(c2c1cc(OC)c(OC)c2)c1sc(c2c1[C@H](C(=O)C(F)(F)F)CCC2)c1sc(c2c1[C@H](C(=O)C(F)(F)F)CCC2)
5,660,949,432.7396649,C(=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31)c1c(N(c2ccc(SC)cc2)c2ccc(SC)cc2)c2sc(c(N(c3ccc(SC)cc3)c3ccc(SC)cc3)c2s1)C1=C2C(C(=O)N1CC)=C(N(CC)C2=O)c1c2c(N=S=N2)c(c2nsnc12)C=C1C(=O)c2cc3c(cc2C1=C(C#N)C#N)C1C2C=CC(C2)C31,c1c2c(nsn2)c(c2cc(C(=O)OCC)sc12)c1c2c(nsn2)c(c2cc(C(=O)OCC)sc12)c1c2c(nsn2)c(c2cc(C(=O)OCC)sc12)c1sc2-c3c(OC(CC)(CC)c2c1)cc(s3)c1c2c(nsn2)c(c2cc(C(=O)OCC)sc12)c1c2c(nsn2)c(c2cc(C(=O)OCC)sc12)
