,smi_filename,smiles,sTDDFTxtb_HOMO,B3LYP_HOMO,A_or_D
57,73_TL,C(=C1C(=O)c2cc(C(=O)OC)ccc2C1=C(C#N)C#N),-16.379,-7.434323000000002,A
58,74_TL,C(=C1C(=O)c2cc(OC(=O)C)ccc2C1=C(C#N)C#N),-16.033,-7.179321000000001,A
59,75_TL,C(=C1C(=O)c2cc3ccccc3cc2C1=C(C#N)C#N),-15.638,-6.888205999999999,A
60,77_TL,C(=C1C(=O)c2c(csc2C)C1=C(C#N)C#N),-15.476,-6.768812000000001,A
61,83_TL,C(=C1C(=O)c2c(cc(F)c(F)c2F)C1=C(C#N)C#N),-16.535,-7.549295,A
62,84_TL,C(=C1C(=O)c2c(ccc(Br)c2Cl)C1=C(C#N)C#N),-16.313,-7.385680999999999,A
63,85_TL,C(=C1C(=O)c2c(Cl)cc(Br)cc2C1=C(C#N)C#N),-16.365,-7.424004999999998,A
64,86_TL,C(=C1C(=O)c2cc(Cl)c(F)cc2C1=C(C#N)C#N),-16.374,-7.430637999999999,A
65,88_TL,C(=C1C(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2C1=C(C#N)C#N),-16.289,-7.367993000000001,A
66,89_TL,C(=C1C(=O)c2cc3cc(F)c(F)cc3cc2C1=C(C#N)C#N),-15.894,-7.076878,A
67,97_TL,C(=C1C(=O)c2cc3ccsc3cc2C1=C(C#N)C#N),-15.303,-6.641311000000001,A
68,98_TL,C(=C1C(=O)c2cc3cc(Br)sc3cc2C1=C(C#N)C#N),-15.398,-6.711326000000001,A
