,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln,HOMO,LUMO,optbg,max_abs,total_mins,sTDA_HOMO,sTDA_LUMO,sTDA_optbg,sTDA_max_abs,sTDA_total_mins
DTPC-IC,A,-5.21,-3.97,,,,,,,,,,,,,
DTP-in-F,A,-5.53,-3.92,,,,,,,,,,,,,
DTP-out-F,A,-5.61,-3.96,,,,,,,,,,,,,
DTSiC-IC,A,-5.79,-4.05,1.71,678.0,634.0,,,,,,,,,,
DTSiC-TC,A,-5.79,-4.07,1.67,688.0,664.0,,,,,,,,,,
DTTC-4Cl,A,-5.72,-4.03,1.47,753.0,690.0,,,,,,,,,,
DTTC-4F,A,-5.69,-3.91,1.55,725.0,676.0,,,,,,,,,,
eC9-2Cl,A,-5.57,-3.74,,,,,,,,,,,,,
EH-HD-4F,A,-5.69,-4.04,1.39,813.0,732.0,,,,,,,,,,
EH-IDTBR,A,-5.51,-3.88,1.63,690.0,650.0,-7.03,-1.93,2.21,560.6,9.667,-7.03,-1.93,2.21,560.6,9.667
ERCN,A,-5.5,-3.59,1.82,572.0,582.0,-7.06,-1.68,2.43,509.6,19.75,-7.06,-1.68,2.43,509.6,19.75
F(DPP)2B2,A,-5.21,-3.39,1.82,,,,,,,,,,,,
F-0Cl,A,-5.43,-3.71,,,,,,,,,,,,,
F1,D,-5.5,-3.53,1.97,577.0,568.0,-6.75,-1.06,2.71,456.9,24.183,-6.75,-1.06,2.71,456.9,24.183
F-1Cl,A,-5.46,-3.75,,,,,,,,,,,,,
F-2Cl,A,-5.63,-3.89,1.58,732.0,688.0,-7.57,-2.1,2.56,484.1,13.117,-7.57,-2.1,2.56,484.1,13.117
F-2F,A,-5.78,-3.89,1.6,703.0,678.0,-7.6,-2.08,2.57,481.7,12.7,-7.6,-2.08,2.57,481.7,12.7
F5IC,A,-5.82,-4.05,1.64,694.0,666.0,,,,,,,,,,
F7IC,A,-5.74,-4.01,1.56,730.0,690.0,,,,,,,,,,
F8IC,A,-5.4,-4.0,,,,,,,,,,,,,
F8IDT-Br,A,-5.82,-3.87,1.7,638.0,600.0,,,,,,,,,,
F9IC,A,-5.52,-3.97,1.49,746.0,710.0,,,,,,,,,,
FBM,A,-6.25,-4.14,2.11,501.0,486.0,,,,,,,,,,
FBR,A,-5.77,-3.57,2.14,509.0,,,,,,,,,,,
F-Br,A,-5.62,-4.06,1.56,720.0,679.0,,,,,,,,,,
F-BTA3,A,-5.52,-3.39,,,,,,,,,,,,,
F-Cl,A,-5.62,-4.04,1.58,711.0,678.0,,,,,,,,,,
FDICTF,A,-5.43,-3.71,1.63,689.0,665.0,,,,,,,,,,
FDNCTF,A,-5.48,-3.82,1.6,714.0,697.0,,,,,,,,,,
FDTBT-IDTT-FINCN,A,-5.46,-3.92,1.51,723.0,691.0,,,,,,,,,,
FEHIDT,A,-5.95,-3.95,,,,,,,,,,,,,
F-F,A,-5.72,-4.13,1.59,703.0,674.0,,,,,,,,,,
FFI-1,A,-6.1,-3.5,,,,,,,,,,,,,
F-H,A,-5.43,-3.71,1.63,689.0,665.0,,,,,,,,,,
F-ITIC,A,-5.65,-4.09,,,,,,,,,,,,,
FITP,A,-5.48,-3.75,,,,,,,,,,,,,
Flu-RH,A,-5.58,-3.53,2.1,,,,,,,,,,,,
F-M,A,-5.42,-3.7,1.65,687.0,662.0,-7.41,-1.83,2.59,478.0,12.767,-7.41,-1.83,2.59,478.0,12.767
FNIC1,A,-5.61,-3.92,1.48,752.0,734.0,,,,,,,,,,
FNIC2,A,-5.56,-4.0,1.38,794.0,750.0,,,,,,,,,,
FNTz-Teh-FA,A,-6.17,-3.55,2.08,,525.0,,,,,,,,,,
FO-2F,A,-5.72,-3.94,1.47,784.0,696.0,,,,,,,,,,
FOC2C6-2FIC,A,-5.51,-3.84,1.43,742.0,710.0,,,,,,,,,,
FOC6-FIC,A,-5.47,-3.81,1.47,736.0,708.0,,,,,,,,,,
FOC6-IC,A,-5.42,-3.77,1.51,721.0,700.0,,,,,,,,,,
FOIC,A,-5.38,-3.91,1.32,836.0,782.0,-7.12,-2.15,2.15,575.7,17.533,-7.12,-2.15,2.15,575.7,17.533
FRd2,A,-5.67,-3.58,,509.0,,,,,,,,,,,
FRdCN2,A,-5.88,-3.81,,530.0,,,,,,,,,,,
FTAZ,D,-5.38,-3.17,,,,,,,,,,,,,
GL1,A,-5.4,-3.83,1.28,846.0,817.0,-7.09,-2.2,2.08,596.0,19.967,-7.09,-2.2,2.08,596.0,19.967
H1,A,-5.51,-3.84,1.67,,,,,,,,,,,,
H11,D,-5.27,-3.45,,,,,,,,,,,,,
H13,D,-5.43,-3.39,,,,,,,,,,,,,
H14,D,-5.46,-3.47,,,,,,,,,,,,,
H2,A,-5.62,-3.94,,,,,,,,,,,,,
H-2F,A,-5.58,-4.06,1.46,745.0,710.0,-7.29,-2.13,2.29,540.4,15.683,-7.29,-2.13,2.29,540.4,15.683
HD-4Cl,A,-5.68,-4.09,,,,,,,,,,,,,
HDO-4Cl,A,-5.7,-3.91,,,,,,,,,,,,,
HFO-PCIC,A,-5.5,-3.81,1.48,723.0,686.0,,,,,,,,,,
HF-PCIC,A,-5.53,-3.83,1.5,716.0,682.0,,,,,,,,,,
HFQx-T,D,-5.44,-3.5,1.76,601.0,604.0,-6.68,-1.39,2.5,495.0,79.717,-6.68,-1.39,2.5,495.0,79.717
HF-TCIC,A,-5.43,-3.83,1.44,706.0,,,,,,,,,,,
H-IDTzR,A,-5.31,-3.44,1.87,616.0,582.0,-7.06,-1.48,2.53,490.9,6.817,-7.06,-1.48,2.53,490.9,6.817
H-ITIC,A,-5.61,-4.02,,,,,,,,,,,,,
HTAZ,D,-5.42,-3.44,,,,,,,,,,,,,
IBCT,A,-5.5,-3.7,,,,,,,,,,,,,
IBR,A,-5.64,-3.41,,565.0,,,,,,,,,,,
i-cc23,A,-5.34,-3.64,1.69,677.0,663.0,,,,,,,,,,
i-cc34,A,-5.39,-3.75,1.57,717.0,708.0,-7.01,-1.72,3.14,394.8,18.117,-7.01,-1.72,3.14,394.8,18.117
IC-C6IDT-IC,A,-5.69,-3.91,1.62,,,,,,,,,,,,
ICIF2F,A,-5.45,-4.02,1.36,823.0,760.0,,,,,,,,,,
ICPDT-4F,A,-5.33,-3.91,,,,,,,,,,,,,
Icz-Rd2,A,-5.59,-3.88,,590.0,543.0,,,,,,,,,,
Icz-RdCN2,A,-5.58,-3.98,,642.0,582.0,,,,,,,,,,
ID4F,A,-5.83,-3.86,1.64,707.0,671.0,,,,,,,,,,
ID-4F,A,-5.75,-4.06,,719.0,677.0,,,,,,,,,,
IDBDT-O,A,-5.68,-3.68,1.55,713.0,711.0,,,,,,,,,,
IDBDT-T,A,-5.78,-3.66,1.63,701.0,686.0,,,,,,,,,,
IDBTR-C6,A,-5.3,-3.71,1.52,711.0,654.0,,,,,,,,,,
IDIC,A,-5.69,-3.91,1.63,716.0,666.0,,,,,,,,,,
IDIC-4Cl,A,-5.9,-4.04,1.52,755.8,688.5,-7.78,-2.3,2.47,501.6,8.233,-7.78,-2.3,2.47,501.6,8.233
IDIC8-F,A,-5.51,-3.82,,,,,,,,,,,,,
IDIC8-H,A,-5.52,-3.76,,,,,,,,,,,,,
IDIC8-M,A,-5.51,-3.72,,,,,,,,,,,,,
IDIC-PhC6,A,-5.72,-3.86,1.71,682.0,654.0,,,,,,,,,,
IDSe-T-IC,A,-5.45,-3.79,1.52,,,,,,,,,,,,
IDST-4F,A,-5.59,-4.01,,791.0,728.0,,,,,,,,,,
IDT(DCV)2,A,-5.81,-3.65,2.16,538.0,532.0,,,,,,,,,,
IDT(TCV)2,A,-6.04,-4.18,1.86,616.0,602.0,,,,,,,,,,
IDT-2B,A,-5.8,-3.84,1.73,672.0,654.0,,,,,,,,,,
IDT-2BM,A,-5.5,-3.79,1.34,688.99,657.99,-7.37,-2.19,2.31,536.4,16.433,-7.37,-2.19,2.31,536.4,16.433
IDT-2BR,A,-5.52,-3.69,,636.0,,,,,,,,,,,
IDT-2BR1,A,-5.37,-3.67,1.61,,,,,,,,,,,,
IDT2-IC,A,-5.28,-3.91,1.5,715.0,710.0,,,,,,,,,,
IDT2-IC-4Cl,A,-5.34,-3.95,1.4,779.0,739.0,,,,,,,,,,
IDT-2O,A,-5.73,-3.85,1.64,706.0,668.0,,,,,,,,,,
IDT-2PDI,A,-5.53,-3.83,,,,,,,,,,,,,
IDT2Se,A,-5.41,-3.87,1.45,747.0,722.0,,,,,,,,,,
IDT2Se-4F,A,-5.51,-4.0,1.39,789.0,737.0,,,,,,,,,,
IDT-3EsT,A,-5.38,-3.85,1.55,705.0,683.0,,,,,,,,,,
IDT-3EsT-2IC2F,A,-5.38,-3.93,1.44,759.0,704.0,,,,,,,,,,
IDT-4CN,A,-5.45,-3.95,,698.0,,,,,,,,,,,
IDT-4EsT-2IC2F,A,-5.35,-3.93,1.44,738.0,719.0,,,,,,,,,,
IDT6CN-M,A,-5.6,-3.87,1.6,,,,,,,,,,,,
IDTA,A,-5.88,-3.9,,,,,,,,,,,,,
IDT-BC6,A,-5.55,-3.82,1.75,592.0,,,,,,,,,,,
IDT-BOC6,A,-5.51,-3.78,1.63,688.0,,,,,,,,,,,
IDTBR,A,-5.63,-3.8,,,,,,,,,,,,,
IDT-BT-R,A,-5.3,-3.59,,,,,,,,,,,,,
IDTC,A,-5.57,-3.96,1.51,727.0,,,,,,,,,,,
IDTC-4Cl,A,-5.5,-3.79,,,,,,,,,,,,,
IDTCR,A,-5.46,-3.67,1.76,622.0,603.0,-7.14,-1.76,2.38,521.5,17.617,-7.14,-1.76,2.38,521.5,17.617
IDT-CR,A,-5.34,-3.44,1.78,590.0,598.0,,,,,,,,,,
IDT-CT,A,-5.39,-3.67,1.63,655.0,639.0,,,,,,,,,,
IDT-EDOT,A,-5.43,-3.8,1.41,789.0,753.0,,,,,,,,,,
IDTI,A,-5.81,-3.94,,,,,,,,,,,,,
IDTIC,A,-5.85,-3.89,,,,,,,,,,,,,
IDT-IC,A,-5.61,-3.88,1.72,683.49,646.0,,,,,,,,,,
IDTIDSe-T-IC,A,-5.41,-3.81,,,,,,,,,,,,,
IDTIDT-IC,A,-5.42,-3.82,1.53,721.0,696.0,,,,,,,,,,
IDTN,A,-5.8,-3.98,1.57,732.0,688.0,,,,,,,,,,
IDT-N,A,-5.74,-4.08,1.58,727.0,687.0,,,,,,,,,,
IDTN-O,A,-5.77,-3.89,1.59,728.0,686.0,,,,,,,,,,
IDT-NTI-1HH,A,-5.4,-3.8,,,,,,,,,,,,,
IDT-NTI-2EH,A,-5.4,-3.9,,,,,,,,,,,,,
IDTO,A,-5.52,-3.84,1.53,723.0,,,,,,,,,,,
IDT-OB,A,-5.77,-3.87,1.66,697.0,661.0,,,,,,,,,,
IDTOT2F,A,-5.54,-3.94,1.44,765.0,723.0,,,,,,,,,,
IDT-PDOT,A,-5.39,-3.77,1.43,776.0,747.0,,,,,,,,,,
IDT-R,A,-5.44,-3.53,1.96,583.0,576.0,,,,,,,,,,
IDT-T,A,-5.41,-3.96,,,,,,,,,,,,,
IDTT(TCV)2,A,-5.58,-4.06,1.52,713.0,691.0,,,,,,,,,,
IDTT-2BM,A,-5.5,-3.8,1.54,714.0,672.0,,,,,,,,,,
IDTT2F,A,-5.57,-4.03,1.46,749.0,716.0,,,,,,,,,,
IDTT2OT,A,-5.2,-3.69,1.51,725.0,717.0,,,,,,,,,,
IDTT2OT-2F,A,-5.28,-3.83,1.45,754.0,731.0,,,,,,,,,,
IDTT2OT-4F,A,-5.32,-3.9,1.42,768.0,734.0,,,,,,,,,,
IDTTA,A,-5.81,-3.97,,,,,,,,,,,,,
IDTT-BH,A,-5.42,-3.86,1.54,733.0,710.0,,,,,,,,,,
IDTT-Br-2F,A,-5.79,-3.99,1.58,,,,,,,,,,,,
IDTT-Cl-2F,A,-5.42,-3.92,1.56,,,,,,,,,,,,
IDTT-CR,A,-5.25,-3.38,1.74,602.0,610.0,,,,,,,,,,
IDTT-CT,A,-5.28,-3.65,1.63,653.0,641.0,,,,,,,,,,
IDTTIC,A,-5.68,-3.84,,,,,,,,,,,,,
IDTT-M-2F,A,-5.4,-3.87,1.59,,,,,,,,,,,,
IDT-T-N,A,-5.58,-4.06,1.45,755.0,734.0,,,,,,,,,,
IDTT-OB,A,-5.59,-3.87,,,,,,,,,,,,,
IDTT-OBH,A,-5.41,-3.86,1.57,733.0,710.0,,,,,,,,,,
IDTT-R,A,-5.32,-3.49,1.84,598.0,590.0,,,,,,,,,,
IDTT-T,A,-5.51,-3.58,1.82,625.0,620.0,,,,,,,,,,
IDTT-TBTA,A,-5.51,-3.72,1.89,,,,,,,,,,,,
IDT-Tz,A,-5.62,-4.09,,,,,,,,,,,,,
IDTzCR,A,-5.67,-3.77,1.79,616.0,593.0,,,,,,,,,,
IE-4Cl,A,-5.54,-4.11,1.43,775.0,730.0,,,,,,,,,,
IE-4F,A,-5.51,-4.07,1.44,760.0,715.0,,,,,,,,,,
IEIC,A,-5.42,-3.82,1.57,714.97,700.0,,,,,,,,,,
IEICO,A,-5.32,-3.95,1.34,,,,,,,,,,,,
IEICO-4Cl,A,-5.56,-4.23,1.23,887.0,802.0,-6.99,-2.04,2.28,544.0,25.833,-6.99,-2.04,2.28,544.0,25.833
IEICO-4F,A,-5.44,-4.19,1.24,869.0,803.0,,,,,,,,,,
IEICS-4F,A,-5.43,-4.08,1.35,,,,,,,,,,,,
IFBR,A,-5.69,-3.64,,,,,,,,,,,,,
IFBR-d,A,-5.67,-3.74,,647.0,,,,,,,,,,,
IFBR-p,A,-5.64,-3.73,,671.0,,,,,,,,,,,
IffBR,A,-5.71,-3.77,,,,,,,,,,,,,
IFIC-i-4F,A,-5.42,-3.91,,,,,,,,,,,,,
IHIC2,A,-5.69,-3.86,,,,,,,,,,,,,
IHIC-N,A,-5.57,-3.8,,,,,,,,,,,,,
I-IDTBTRh,A,-5.42,-3.68,1.65,667.0,618.0,,,,,,,,,,
i-IEICO-2Cl,A,-5.42,-3.75,1.57,727.0,709.0,,,,,,,,,,
i-IEICO-4Cl,A,-5.46,-3.82,1.51,754.0,718.0,-6.89,-1.9,2.8,408.6,21.65,-6.89,-1.9,2.8,408.6,21.65
I-ITIC,A,-5.68,-4.14,,,,,,,,,,,,,
INIC,A,-5.45,-3.88,1.57,706.0,692.0,-7.15,-1.94,2.42,511.8,28.0,-7.15,-1.94,2.42,511.8,28.0
INIC1,A,-5.54,-3.97,1.56,720.0,710.0,,,,,,,,,,
INIC2,A,-5.52,-3.98,1.52,728.0,704.0,,,,,,,,,,
INIC3,A,-5.52,-4.02,1.48,744.0,710.0,,,,,,,,,,
INPIC,A,-5.36,-3.82,1.46,779.0,755.0,,,,,,,,,,
INPIC-2F,A,-5.4,-3.91,1.41,799.0,767.0,,,,,,,,,,
INPIC-4F,A,-5.42,-3.94,1.39,821.0,769.0,-7.02,-1.93,2.32,533.6,26.35,-7.02,-1.93,2.32,533.6,26.35
IOIC2,A,-5.41,-3.78,,,,,,,,,,,,,
IOIC3,A,-5.38,-3.84,,,,,,,,,,,,,
IOTIC-2F,A,-5.34,-4.06,1.31,839.0,794.0,-6.82,-2.02,2.11,586.6,24.1,-6.82,-2.02,2.11,586.6,24.1
IPIC,A,-5.47,-3.82,1.44,776.0,761.0,,,,,,,,,,
IPIC-4Cl,A,-5.51,-3.95,1.32,855.0,790.0,,,,,,,,,,
IPIC-4F,A,-5.54,-3.94,1.38,824.0,776.0,,,,,,,,,,
IPT-2F,A,-5.51,-3.96,1.44,775.0,739.0,-7.2,-1.97,2.42,513.2,26.417,-7.2,-1.97,2.42,513.2,26.417
IPT2F-Ph,A,-5.57,-4.0,1.46,769.0,732.0,,,,,,,,,,
IPT2F-Th,A,-5.58,-4.03,1.47,759.0,726.0,,,,,,,,,,
IPT2F-TT,A,-5.6,-4.0,1.45,764.0,724.0,,,,,,,,,,
IPT-4Cl,A,-5.58,-4.11,1.39,819.0,760.0,,,,,,,,,,
IPT-4F,A,-5.57,-4.08,1.42,795.0,746.0,,,,,,,,,,
IPTBO-4Cl,A,-5.64,-4.08,1.39,817.0,759.0,,,,,,,,,,
IPTBO-4F,A,-5.57,-4.07,1.41,800.0,746.0,,,,,,,,,,
IPTT-2F,A,-5.46,-4.04,1.42,766.0,742.0,,,,,,,,,,
IPTTT-2F,A,-5.4,-4.07,1.43,761.0,746.0,,,,,,,,,,
IT-2Cl,A,-5.68,-3.99,1.55,720.0,,,,,,,,,,,
IT-2F,A,-5.64,-4.05,,,,,,,,,,,,,
IT-4Cl,A,-5.75,-4.09,1.48,746.0,,,,,,,,,,,
IT-4F,A,-5.66,-4.14,1.53,725.5,690.99,,,,,,,,,,
IT6-4F,A,-5.69,-3.99,1.53,709.0,679.0,,,,,,,,,,
ITBC,A,-5.49,-3.9,1.59,691.0,664.0,,,,,,,,,,
IT-BN-ICN,A,-5.59,-4.08,1.51,750.0,,,,,,,,,,,
IT-BT-CN,A,-5.53,-3.96,1.57,712.0,,,,,,,,,,,
ITC-2Cl,A,-5.58,-4.01,1.58,746.0,709.0,,,,,,,,,,
ITC6-IC,A,-5.73,-3.92,1.6,709.0,677.0,,,,,,,,,,
ITCC-Br,A,-5.74,-3.91,1.64,,,,,,,,,,,,
ITCC-Cl,A,-5.4,-3.78,1.66,,,,,,,,,,,,
ITCC-M,A,-5.43,-3.68,1.72,,,,,,,,,,,,
ITCF,A,-5.59,-3.95,1.57,718.0,683.0,,,,,,,,,,
ITCPTC,A,-5.63,-3.96,1.58,719.7,677.88,,,,,,,,,,
IT-DM,A,-5.57,-3.88,1.63,694.0,669.0,,,,,,,,,,
IT-DOH,A,-5.58,-3.93,1.53,732.0,667.0,,,,,,,,,,
IT-F,A,-5.66,-3.95,,,,,,,,,,,,,
ITIC,A,-5.49,-3.83,1.59,705.14,677.79,-7.34,-1.98,2.48,499.0,18.4,-7.34,-1.98,2.48,499.0,18.4
IT-IC,A,-5.58,-3.88,1.59,709.0,,,,,,,,,,,
ITIC-0F,A,-5.7,-4.0,1.59,708.0,668.0,,,,,,,,,,
ITIC1,A,-5.48,-3.85,1.55,734.0,702.0,,,,,,,,,,
ITIC2,A,-5.43,-3.8,1.53,738.0,714.0,,,,,,,,,,
ITIC-2F,A,-5.66,-4.11,1.56,721.5,681.47,,,,,,,,,,
ITIC3,A,-5.54,-3.9,1.55,734.0,686.0,,,,,,,,,,
ITIC-3F,A,-5.73,-4.12,1.54,730.0,685.0,,,,,,,,,,
ITIC4,A,-5.77,-3.97,1.52,730.0,690.0,,,,,,,,,,
ITIC-4F,A,-5.82,-4.24,1.55,728.0,682.0,,,,,,,,,,
ITIC5,A,-5.48,-3.95,1.53,744.0,718.0,,,,,,,,,,
ITIC-6F,A,-5.78,-4.16,1.51,745.0,695.0,,,,,,,,,,
ITIC-C9,A,-5.78,-3.97,,,,,,,,,,,,,
ITIC-Cl4,A,-5.5,-3.9,,,,,,,,,,,,,
ITIC-OE,A,-5.67,-4.03,1.58,718.0,671.0,,,,,,,,,,
ITIC-SC2C6,A,-5.74,-3.86,,,,,,,,,,,,,
ITIC-Th,A,-5.66,-3.93,1.6,706.0,668.0,,,,,,,,,,
ITIC-Th1,A,-5.74,-4.01,1.55,728.0,677.0,,,,,,,,,,
ITIC-Th2,A,-5.75,-4.07,1.54,735.0,680.0,,,,,,,,,,
ITIC-Th3,A,-5.67,-3.73,1.63,698.0,664.0,,,,,,,,,,
IT-M,A,-5.58,-3.98,1.6,,,,,,,,,,,,
ITN-C9,A,-5.78,-3.92,,,,,,,,,,,,,
IT-OH,A,-5.57,-3.92,1.54,725.0,666.0,,,,,,,,,,
IT-OM-1,A,-5.5,-3.76,1.67,668.0,650.0,,,,,,,,,,
IT-OM-2,A,-5.49,-3.86,1.59,706.0,678.0,,,,,,,,,,
IT-OM-3,A,-5.52,-3.8,1.64,686.0,664.0,,,,,,,,,,
IT-OM-4,A,-5.49,-3.81,1.63,688.0,676.0,,,,,,,,,,
ITOTIC-2F,A,-5.22,-4.11,1.32,809.0,791.0,,,,,,,,,,
ITTC,A,-5.49,-3.85,1.61,707.0,,,,,,,,,,,
ITTIC,A,-5.28,-3.82,,,,,,,,,,,,,
ITzN-C9,A,-5.62,-3.78,,,,,,,,,,,,,
IUIC,A,-5.45,-3.87,1.41,788.0,772.0,-6.96,-1.97,2.27,545.8,64.683,-6.96,-1.97,2.27,545.8,64.683
IXIC,A,-5.13,-3.78,1.35,799.5,751.5,,,,,,,,,,
IXIC-2Cl,A,-5.2,-3.9,1.3,939.0,773.5,-7.14,-2.16,2.15,575.8,19.217,-7.14,-2.16,2.15,575.8,19.217
IXIC-4Cl,A,-5.2,-3.95,1.25,866.0,789.0,,,,,,,,,,
J100,D,-5.35,-3.0,1.95,,,,,,,,,,,,
J101,D,-5.47,-2.97,1.96,,,,,,,,,,,,
J101 (actually J100),D,-5.3,-3.5,,,,,,,,,,,,,
J11,D,-5.48,-3.23,1.96,543.0,543.0,-6.85,-1.38,2.57,482.9,40.333,-6.85,-1.38,2.57,482.9,40.333
J12,D,-5.51,-3.26,1.94,545.0,548.0,-6.85,-1.43,2.56,483.9,42.35,-6.85,-1.43,2.56,483.9,42.35
J51,D,-5.29,-3.3,,,,,,,,,,,,,
J52,D,-5.2,-3.05,1.96,590.0,,,,,,,,,,,
J52-2Cl,D,-5.38,,1.94,,,,,,,,,,,,
J52-2F,D,-5.36,-3.42,,,,,,,,,,,,,
J52-Cl,D,-5.39,-3.45,,,,,,,,,,,,,
J52-F,D,-5.36,-3.42,,,,,,,,,,,,,
J60,D,-5.32,-3.08,1.93,598.0,,,,,,,,,,,
J61,D,-5.32,-3.07,1.93,600.0,,,,,,,,,,,
J62,D,-5.31,-3.08,1.92,,,,,,,,,,,,
J63,D,-5.28,-3.04,1.92,,,,,,,,,,,,
J64,D,-5.33,-3.09,1.92,,,,,,,,,,,,
J70,D,-5.37,-2.91,1.99,580.0,,,,,,,,,,,
J71,D,-5.4,-3.24,1.96,580.0,,,,,,,,,,,
J71-Cl,D,-5.33,-2.98,1.96,,,,,,,,,,,,
J72,D,-5.42,-3.29,1.98,578.0,,,,,,,,,,,
J73,D,-5.46,-2.92,1.98,576.0,,,,,,,,,,,
J74,D,-5.56,-3.06,1.99,526.0,,,,,,,,,,,
J81,D,-5.43,-2.98,,,,,,,,,,,,,
J91,D,-5.5,-3.02,2.0,,,,,,,,,,,,
JC1,A,-5.51,-3.95,1.3,828.0,723.0,,,,,,,,,,
JC14,A,-5.41,-3.63,1.57,707.0,657.0,-6.99,-1.86,2.22,557.8,16.583,-6.99,-1.86,2.22,557.8,16.583
JC2,A,-5.48,-3.73,1.48,760.0,673.0,,,,,,,,,,
K12,A,-6.2,-3.6,,,,,,,,,,,,,
L1,D,-5.45,-2.79,,,,,,,,,,,,,
L24,D,-5.43,-3.48,,,,,,,,,,,,,
L68,D,-5.51,-3.56,,,,,,,,,,,,,
L810,D,-5.57,-3.58,,,,,,,,,,,,,
L8-BO,A,-5.68,-3.9,,,,,,,,,,,,,
LL2,A,-5.58,-3.88,1.39,809.0,729.0,-7.24,-2.06,2.42,513.0,12.333,-7.24,-2.06,2.42,513.0,12.333
LL2-2Cl,A,-5.64,-4.02,1.35,835.0,745.0,,,,,,,,,,
LL3,A,-5.48,-3.78,1.37,823.0,753.0,,,,,,,,,,
LL3-2Cl,A,-5.53,-3.92,1.32,860.0,766.0,,,,,,,,,,
LL4,A,-5.56,-3.82,1.39,807.0,730.0,,,,,,,,,,
LL4-2Cl,A,-5.62,-3.99,,,743.0,,,,,,,,,,
M1,A,-5.48,-3.8,1.44,774.0,726.0,,,,,,,,,,
M2,A,-5.6,-3.96,1.39,797.0,742.0,,,,,,,,,,
M34,A,-5.6,-3.91,1.39,798.0,741.0,,,,,,,,,,
M4,A,-5.61,-3.97,1.38,798.0,742.0,,,,,,,,,,
m-4TBC-2F,A,-5.68,-4.0,1.66,606.0,595.0,,,,,,,,,,
M8,A,-5.49,-3.91,1.28,854.0,780.0,,,,,,,,,,
m-BTP-C6Ph,A,-5.59,-3.86,1.35,806.0,728.0,,,,,,,,,,
m-DTC-2Cl,A,-5.65,-3.89,,,,,,,,,,,,,
MeIC,A,-5.72,-3.76,1.58,718.0,674.0,,,,,,,,,,
m-IDTIDT-FIC,A,-5.47,-3.94,1.51,743.0,716.0,,,,,,,,,,
m-INPOIC,A,-5.41,-3.97,1.41,810.0,773.0,-7.11,-2.0,2.35,528.0,24.933,-7.11,-2.0,2.35,528.0,24.933
m-ITIC,A,-5.52,-3.82,1.58,,,,,,,,,,,,
m-ITIC-OR-4Cl,A,-5.78,-4.05,,,,,,,,,,,,,
m-ITTC,A,-5.62,-3.89,1.61,711.0,688.0,,,,,,,,,,
MO-IDIC,A,-5.69,-3.89,1.6,,670.0,,,,,,,,,,
MO-IDIC-2F,A,-5.8,-3.93,1.55,,677.0,,,,,,,,,,
m-PBDTPS-FTAZ,D,-5.4,-3.4,2.0,579.0,567.0,-6.81,-1.32,2.56,483.5,41.5,-6.81,-1.32,2.56,483.5,41.5
MS-4Cl,A,-5.68,-3.99,1.37,813.0,742.0,,,,,,,,,,
MS-4F,A,-5.63,-3.91,1.41,800.0,727.0,,,,,,,,,,
N10,A,-5.7,-4.15,,,,,,,,,,,,,
N2200,A,-5.71,-4.02,,,,,,,,,,,,,
N3_srivani,A,-5.87,-3.9,,,,,,,,,,,,,
N4,A,-6.05,-3.89,,,,,,,,,,,,,
N65-2FIC,A,-5.6,-4.03,1.4,786.0,731.0,-7.21,-2.14,2.2,564.2,21.833,-7.21,-2.14,2.2,564.2,21.833
N65-IC,A,-5.52,-3.89,1.48,748.0,715.0,,,,,,,,,,
N6b,A,-5.06,-3.71,,,,,,,,,,,,,
N7,A,-5.56,-3.74,,,,,,,,,,,,,
NAI-FN-NAI(BO),A,-6.07,-3.96,2.13,426.0,411.0,,,,,,,,,,
NBDTP,A,-5.66,-3.79,,,,,,,,,,,,,
NCBDT,A,-5.36,-3.89,,,,,,,,,,,,,
NCBDT-4Cl,A,-5.6,-4.02,,,,,,,,,,,,,
NDI-3TH,A,-5.5,-4.1,,,,,,,,,,,,,
NDICz-6,A,-5.91,-4.19,,,,,,,,,,,,,
NDTR,D,-5.23,-3.5,,,,,,,,,,,,,
NFBDT,A,-5.42,-3.86,1.56,731.0,703.0,,,,,,,,,,
NFTI,A,-5.46,-3.77,,,,,,,,,,,,,
NIBT,A,-5.38,-3.68,1.63,660.0,628.0,-6.99,-1.92,2.19,565.4,29.633,-6.99,-1.92,2.19,565.4,29.633
NIDT,A,-5.34,-3.58,1.85,618.0,599.0,,,,,,,,,,
NITI-SeS,A,-5.76,-3.83,,,,,,,,,,,,,
NITI-Sse,A,-5.76,-3.81,,,,,,,,,,,,,
NITT-BF,A,-5.75,-4.15,1.52,713.0,675.0,,,,,,,,,,
NITT-ThCl,A,-5.71,-4.1,1.55,705.0,692.0,,,,,,,,,,
NITV,A,-5.4,-3.62,1.78,548.0,567.0,,,,,,,,,,
NNBDT,A,-5.46,-3.94,,,,,,,,,,,,,
NOBDT,A,-5.26,-3.89,1.39,781.0,744.0,-7.1,-2.09,2.29,541.4,24.217,-7.1,-2.09,2.29,541.4,24.217
NoCA-1,A,-5.45,-3.88,,822.0,764.0,-7.17,-2.14,2.16,575.1,15.6,-7.17,-2.14,2.16,575.1,15.6
NoCA-5,A,-5.43,-3.83,,818.0,769.0,,,,,,,,,,
NTIC,A,-5.58,-3.76,1.67,694.0,650.0,,,,,,,,,,
NTIC-F,A,-5.52,-3.77,1.66,712.0,657.0,-7.54,-2.01,2.57,481.6,17.233,-7.54,-2.01,2.57,481.6,17.233
