,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln,HOMO,LUMO,optbg,max_abs,total_mins,sTDA_HOMO,sTDA_LUMO,sTDA_optbg,sTDA_max_abs,sTDA_total_mins
BCDT-4F,A,-5.46,-3.86,1.4,784.0,733.0,-7.14,-2.25,2.04,608.8,14.683,-7.14,-2.25,2.04,608.8,14.683
BCIC2F,A,-5.54,-3.87,1.45,695.0,713.0,,,,,,,,,,
BCPDT-1,A,-5.36,-3.85,1.36,824.0,707.0,,,,,,,,,,
BCPDT-2,A,-5.4,-3.79,1.39,792.0,720.0,-7.34,-2.2,2.22,558.8,15.167,-7.34,-2.2,2.22,558.8,15.167
BDCPDT-FIC,A,-5.52,-4.0,1.49,748.0,710.0,-7.4,-2.2,2.32,534.6,18.017,-7.4,-2.2,2.32,534.6,18.017
BDCPDT-IC,A,-5.41,-3.87,1.53,727.0,696.0,,,,,,,,,,
BDCPDT-TTC,A,-5.38,-3.78,1.58,700.0,671.0,-7.21,-1.93,2.46,503.9,18.65,-7.21,-1.93,2.46,503.9,18.65
BDDBO-4F,A,-5.56,-3.93,,,,,,,,,,,,,
BDDEH-4F,A,-5.57,-3.94,,,,,,,,,,,,,
BDIC2F,A,-5.55,-3.85,1.38,722.0,689.0,-7.35,-2.14,2.32,535.1,12.2,-7.35,-2.14,2.32,535.1,12.2
BDSePhCl,A,-5.61,-3.96,1.41,790.0,725.0,-7.36,-2.14,2.35,528.6,26.367,-7.36,-2.14,2.35,528.6,26.367
BDSeThCl,A,-5.58,-3.82,1.55,706.0,685.0,-7.32,-1.98,2.41,515.2,18.25,-7.32,-1.98,2.41,515.2,18.25
BDT-2DPP,D,-5.23,-3.46,,626.0,,,,,,,,,,,
BDT3TR,D,-5.1,-3.28,,,,,,,,,,,,,
BDTC-4Cl,A,-5.35,-3.75,,,,,,,,,,,,,
BDT-IC,A,-5.51,-3.9,1.53,739.0,,,,,,,,,,,
BDTIT-M,A,-5.4,-3.85,1.55,730.0,700.0,-7.23,-1.93,2.41,515.1,17.9,-7.23,-1.93,2.41,515.1,17.9
BDTN-BF,A,-5.58,-3.73,1.41,792.0,740.0,-7.26,-2.1,2.38,519.9,20.717,-7.26,-2.1,2.38,519.9,20.717
