gen,max_abs,min_abs,med_abs,min_overlap,max_overlap,med_overlap,min_score,med_score,max_score
1,914.2435708664273,972.8269331203336,940.9553863146136,1031.321023563095,662.0409851176091,836.5305379560217,-58.494090442761376,104.42484835859193,252.20258574881814
2,914.2435708664273,988.5416305262271,848.4486526459476,972.9009115179689,662.0409851176091,693.7856611322688,15.640719008258202,154.66299151367878,252.20258574881814
3,712.5109663788362,884.1945207487861,832.9511082287806,812.130490354773,457.7597275849917,643.525806533358,72.06403039401312,189.4253016954226,254.7512387938445
4,702.6079931987908,923.9627380007526,833.3597198190298,836.0180410952763,441.38452949630766,631.9378375918764,87.94469690547623,201.42188222715345,261.2234637024832
5,702.6079931987908,914.9603873752891,870.888238783405,823.7266727683628,441.38452949630766,661.1054652226896,91.23371460692624,209.78277356071533,261.2234637024832
6,726.3716401445611,902.2355126581419,827.8443632992983,831.5915955451876,435.00757240867694,607.0442074289496,70.64391711295434,220.8001558703487,291.36406773588413
7,726.3716401445611,958.4786454579946,698.0005443858607,985.4032486122918,435.00757240867694,456.3717511167967,-26.924603154297188,241.62879326906403,291.36406773588413
8,726.3716401445611,871.8357863402441,674.5738358242119,797.7197868498232,435.00757240867694,425.74815686985136,74.1159994904209,248.8256789543605,291.36406773588413
9,743.5980132597509,913.8076809569485,715.2269175010508,786.6684440484753,448.33406731175916,461.2784353446104,127.13923690847321,253.94848215644043,295.2639459479918
10,743.5980132597509,974.6492319690271,665.8511770235756,902.1622339235223,448.33406731175916,409.34050471158173,72.48699804550483,256.51067231199386,295.2639459479918
11,743.5980132597509,914.7107771763959,816.4541395587061,790.3981554921355,448.33406731175916,553.8850954657572,124.31262168426042,262.56904409294884,295.2639459479918
12,743.5980132597509,843.4500009007594,682.305847349606,720.25828612992,448.33406731175916,415.52403650972417,123.19171477083944,266.7818108398818,295.2639459479918
13,870.3961584041375,860.1339271372568,719.834366313981,745.3110372365376,573.839045341151,448.69288320369384,114.82288990071925,271.1414831102872,296.55711306298656
14,870.3961584041375,928.8398013583912,682.3788859805966,838.6996328996615,573.839045341151,410.7900439021459,90.1401684587297,271.5888420784507,296.55711306298656
15,870.3961584041375,938.2343652185784,772.4497641735477,846.7291373091068,573.839045341151,499.68738374756344,91.50522790947161,272.76238042598425,296.55711306298656
16,870.3961584041375,951.7033317303194,743.8923998200619,807.4923046714606,573.839045341151,470.72236184564963,144.2110270588588,273.17003797441225,296.55711306298656
17,806.7111025604888,918.5031820509963,682.6386537856325,826.2860631380211,490.18722460425744,409.4648549124284,92.21711891297525,273.17379887320413,316.5238779562314
18,806.7111025604888,894.7477227220515,898.7259331632447,769.4518280727702,490.18722460425744,623.6122336904368,125.29589464928131,275.11369947280787,316.5238779562314
19,860.3470620994625,881.6035113357161,768.7025845611093,746.8179388246081,540.9033382900453,488.0570979084645,134.78557251110806,280.6454866526448,319.4437238094172
20,860.3470620994625,931.3615990814191,768.7025845611093,905.0506148092328,540.9033382900453,488.0570979084645,26.31098427218626,280.6454866526448,319.4437238094172
21,860.3470620994625,956.9346250455368,745.7699021807085,889.479372583791,540.9033382900453,463.3625114302176,67.45525246174577,282.40739075049095,319.4437238094172
22,860.3470620994625,1048.9902219109752,785.3653562254894,984.9244610110384,540.9033382900453,500.2559858872652,64.06576089993678,285.10937033822427,319.4437238094172
23,860.3470620994625,1062.9792660680077,785.3653562254894,1014.1027920317878,540.9033382900453,500.2559858872652,48.876474036219975,285.10937033822427,319.4437238094172
24,860.3470620994625,955.8733067056804,785.3653562254894,883.6927802236983,540.9033382900453,500.2559858872652,72.18052648198216,285.10937033822427,319.4437238094172
25,860.3470620994625,884.439587069268,785.3653562254894,788.8730767582476,540.9033382900453,500.2559858872652,95.56651031102035,285.10937033822427,319.4437238094172
26,860.3470620994625,932.4379378189848,785.3653562254894,832.1246457754353,540.9033382900453,500.2559858872652,100.3132920435495,285.10937033822427,319.4437238094172
27,860.3470620994625,829.1383125645782,785.9289576762993,719.9358089683291,540.9033382900453,500.24944454438725,109.20250359624913,285.6795131319121,319.4437238094172
28,860.3470620994625,820.3590871446373,785.9289576762993,712.816528518482,540.9033382900453,500.24944454438725,107.54255862615537,285.6795131319121,319.4437238094172
29,860.3470620994625,869.4254595873364,762.9962752958987,714.859761167904,540.9033382900453,477.1162225622647,154.56569841943235,285.88005273363405,319.4437238094172
30,860.3470620994625,889.6750704079354,689.9620537207774,767.8674758026518,540.9033382900453,403.2652229065396,121.80759460528361,286.6968308142378,319.4437238094172
31,860.3470620994625,936.8012763623781,667.4117928085568,815.0706244483333,540.9033382900453,378.77371186816015,121.73065191404476,288.63808094039666,319.4437238094172
32,860.3470620994625,930.4916200741715,865.8919858276914,864.2810816026113,540.9033382900453,574.3678343218803,66.2105384715602,291.5241515058111,319.4437238094172
33,860.3470620994625,854.4794942554746,865.8919858276914,714.8631057439017,540.9033382900453,574.3678343218803,139.61638851157295,291.5241515058111,319.4437238094172
34,860.3470620994625,840.534814355612,865.8919858276914,760.461170609316,540.9033382900453,574.3678343218803,80.07364374629594,291.5241515058111,319.4437238094172
35,860.3470620994625,873.342118717629,784.8132570018095,780.9598458816414,540.9033382900453,493.12301269016564,92.38227283598758,291.6902443116438,319.4437238094172
36,860.3470620994625,917.5199055109376,856.3949887466964,796.1509110284544,540.9033382900453,563.4025929698832,121.36899448248323,292.99239577681317,319.4437238094172
37,860.3470620994625,964.0512591855193,856.3949887466964,913.2560253215763,540.9033382900453,563.4025929698832,50.79523386394294,292.99239577681317,319.4437238094172
