gen,min_PCE,max_PCE,med_PCE
1,17.040536684669675,12.75065866706165,13.599053218601606
2,17.230526604875546,13.599053218601606,14.535125327685108
3,17.388253858281246,14.244993803430345,14.979241503393615
4,18.2727999685444,14.349503508120966,16.437868009816547
5,18.2727999685444,13.602909408402851,16.704458158784547
6,18.2727999685444,13.94354576589575,16.910750311399468
7,18.483326162221996,13.733481861091054,17.11183397575535
8,18.64079362388742,13.51714253230428,17.234159706140744
9,19.61308439663736,14.311899254867994,17.35208752461213
10,19.61308439663736,14.311899254867994,17.750685290188663
11,19.61308439663736,14.653093808858715,18.08106636549701
12,19.782828171181325,14.732952833686866,18.133977768420824
13,19.782828171181325,14.732952833686866,18.2727999685444
14,19.782828171181325,14.935944481014873,18.277764987885117
15,19.782828171181325,15.877134319697625,18.277764987885117
16,19.782828171181325,14.841150346629718,18.344816401743238
17,19.782828171181325,0,18.38511275627104
18,19.782828171181325,15.332560857592815,18.393718397138908
19,19.817874236882368,14.980860574097608,18.431559746559017
20,19.817874236882368,15.78810479306772,18.431559746559017
21,19.817874236882368,14.983211878277322,18.45705561041698
22,19.817874236882368,16.008216595430284,18.45705561041698
23,19.817874236882368,15.082268415638556,18.483326162221996
24,19.817874236882368,15.026812894425996,18.484910395209802
25,19.947659716079407,14.89693707187448,18.541483392120142
26,19.947659716079407,15.026812894425996,18.599375637377992
27,19.947659716079407,14.878200248648174,18.599375637377992
28,19.947659716079407,17.251602640233855,18.599375637377992
29,19.947659716079407,15.83247732909539,18.60287907514564
30,19.947659716079407,15.003186812768392,18.60287907514564
31,19.947659716079407,15.026812894425996,18.60287907514564
32,19.947659716079407,15.026812894425996,18.60287907514564
33,19.947659716079407,15.866764357170906,18.60287907514564
34,19.947659716079407,16.008216595430284,18.60689785963328
35,20.375971760512343,15.960277563087425,18.60915534387103
36,20.375971760512343,15.458573922817129,18.64079362388742
37,20.375971760512343,14.851777016356076,18.695886691336938
38,20.375971760512343,14.841150346629718,18.730966507374763
39,20.375971760512343,14.841150346629718,18.730966507374763
40,20.375971760512343,15.960277563087425,18.820529633751214
41,20.375971760512343,15.082268415638556,18.88506015319926
42,20.375971760512343,15.033066013982621,18.88506015319926
43,20.375971760512343,15.026812894425996,18.88506015319926
44,20.375971760512343,16.39527298751615,18.88506015319926
45,20.375971760512343,15.033066013982621,18.935747235676875
46,20.375971760512343,15.128633050953816,19.025765388705796
47,20.375971760512343,16.27089125288011,19.025765388705796
48,20.375971760512343,16.19758596369798,19.045805259521202
49,20.375971760512343,15.140921205335623,19.045805259521202
50,20.375971760512343,14.774220217100062,19.045805259521202
51,20.375971760512343,15.877134319697625,19.045805259521202
52,20.375971760512343,15.849377644649767,19.045805259521202
53,20.375971760512343,15.026812894425996,19.045805259521202
54,20.375971760512343,16.01738059129147,19.045805259521202
55,20.375971760512343,15.026812894425996,19.045805259521202
56,20.375971760512343,14.33962341603165,19.045805259521202
57,20.375971760512343,16.008216595430284,19.069563952824844
58,20.375971760512343,15.877134319697625,19.069563952824844
59,20.375971760512343,14.851777016356076,19.069563952824844
60,20.375971760512343,14.851777016356076,19.069563952824844
61,20.375971760512343,15.026812894425996,19.069563952824844
62,20.375971760512343,14.33962341603165,19.069563952824844
63,20.375971760512343,16.16282944383468,19.069563952824844
64,20.375971760512343,16.821177822723044,19.069563952824844
65,20.375971760512343,16.278012147518304,19.069563952824844
66,20.375971760512343,15.992959086441527,19.069563952824844
67,20.375971760512343,14.851777016356076,19.069563952824844
68,20.375971760512343,15.026812894425996,19.069563952824844
69,20.375971760512343,15.026812894425996,19.099507185938236
70,20.375971760512343,14.851777016356076,19.099507185938236
71,20.375971760512343,15.877134319697625,19.099507185938236
72,20.375971760512343,16.4512034207058,19.112340870800512
73,20.375971760512343,16.008216595430284,19.112340870800512
74,20.375971760512343,15.025894905826096,19.114169025871767
75,20.375971760512343,14.851777016356076,19.114169025871767
76,20.375971760512343,15.336124033314015,19.114169025871767
77,20.375971760512343,16.492475207571296,19.114169025871767
78,20.375971760512343,15.026812894425996,19.13151200465728
79,20.375971760512343,16.46860810608189,19.13151200465728
80,20.375971760512343,16.227734175798147,19.13151200465728
81,20.375971760512343,16.39527298751615,19.13151200465728
82,20.375971760512343,14.851777016356076,19.13151200465728
83,20.375971760512343,15.173961327657327,19.13151200465728
84,20.375971760512343,14.851777016356076,19.13151200465728
85,20.375971760512343,15.450744109417844,19.17855323519901
86,20.375971760512343,16.73738115839747,19.17855323519901
87,20.375971760512343,16.30839484323376,19.17855323519901
88,20.375971760512343,16.08429317654909,19.17855323519901
89,20.375971760512343,15.470828389860397,19.17855323519901
90,20.375971760512343,14.851777016356076,19.17855323519901
91,20.375971760512343,15.849377644649767,19.17855323519901
92,20.375971760512343,17.106540137499206,19.17855323519901
93,20.375971760512343,16.239949033549394,19.17855323519901
94,20.375971760512343,16.559676220394053,19.17855323519901
95,20.375971760512343,15.358260850810566,19.17855323519901
96,20.375971760512343,16.725361654625505,19.17855323519901
97,20.375971760512343,15.737938084709235,19.17855323519901
98,20.375971760512343,14.851777016356076,19.17855323519901
99,20.375971760512343,16.227105433840183,19.179053841610237
100,20.375971760512343,16.924631776230672,19.179053841610237
