gen,max_abs,min_abs,med_abs,min_overlap,max_overlap,med_overlap,min_score,med_score,max_score
1,1158.442358689993,1464.2847377001108,1157.0356613602712,2148.6372863364627,960.0327776066139,1245.2500412707022,-684.3525486363519,-88.21437991043103,198.40958108337907
2,1111.896162943716,1213.024659374052,1123.7228589220947,1329.8035052492871,847.7657562796396,1105.66683725759,-116.77884587523522,18.05602166450467,264.1304066640764
3,1111.896162943716,1191.9337146057753,1138.885525993742,1239.563979666513,847.7657562796396,1052.625525277988,-47.630265060737656,86.26000071575413,264.1304066640764
4,1067.9839963646893,1114.6018741617152,1068.1927937377445,1267.3770275861098,788.0558516599183,955.9477443728302,-152.7751534243946,112.24504936491428,279.92814470477106
5,1067.9839963646893,1331.3311613331712,945.0184632033274,1459.6080286548747,788.0558516599183,807.2648293098946,-128.27686732170355,137.75363389343283,279.92814470477106
6,1067.9839963646893,1149.7629077009362,1146.277448051822,1261.7024915546808,788.0558516599183,999.1442193074695,-111.93958385374458,147.13322874435244,279.92814470477106
7,1067.9839963646893,1444.7793658472035,1014.4701180826106,1675.5781914437107,788.0558516599183,840.0267324484448,-230.79882559650719,174.4433856341658,279.92814470477106
8,1067.9839963646893,1211.8300317092142,932.3057487480465,1280.870200039001,788.0558516599183,741.7565485182337,-69.04016832978687,190.54920022981287,279.92814470477106
9,1067.9839963646893,1142.3008520084252,1089.3608767186768,1220.0195178010858,788.0558516599183,894.047416145432,-77.71866579266066,195.3134605732448,279.92814470477106
10,1070.8854468009806,1361.6220924694999,958.8474729326146,1623.788496236169,778.6578054982114,757.0777872545721,-262.1664037666692,201.7696856780425,292.22764130276926
11,1070.8854468009806,1265.7201280663005,914.9353063535879,1540.7047213678409,778.6578054982114,712.4268850266303,-274.9845933015404,202.50842132695755,292.22764130276926
12,1070.8854468009806,1269.385668642766,1077.4765023765763,1671.5096969082833,778.6578054982114,870.7212255642494,-402.1240282655174,206.75527681232688,292.22764130276926
13,1070.8854468009806,1355.577657840583,944.8798511939783,1520.9447932607409,778.6578054982114,728.4480229101191,-165.36713542015787,216.4318282838592,292.22764130276926
14,1070.8854468009806,1401.6219603304075,1137.574263253322,1755.550875547014,778.6578054982114,917.3007580009406,-353.92891521660636,220.27350525238137,292.22764130276926
15,1070.8854468009806,1295.758192993033,928.2496004464407,1340.6901639805121,778.6578054982114,702.2453384485127,-44.93197098747919,226.00426199792798,292.22764130276926
16,1070.8854468009806,1260.1988098665897,928.2496004464407,1408.750004943118,778.6578054982114,702.2453384485127,-148.5511950765283,226.00426199792798,292.22764130276926
17,1070.8854468009806,1365.301376374808,1161.1567804792107,1748.6469269373192,778.6578054982114,923.3196405376525,-383.34555056251133,237.83713994155823,292.22764130276926
18,1070.8854468009806,1294.6964752232989,1036.4657862338408,1418.5486834697463,778.6578054982114,798.2669968457172,-123.85220824644739,238.1987893881236,292.22764130276926
19,1070.8854468009806,1230.0383375727404,1168.1130478434607,1370.9847168773297,778.6578054982114,926.023115932612,-140.9463793045893,242.0899319108487,292.22764130276926
20,1070.8854468009806,1108.4763605431613,1123.780537285817,1218.045079585303,778.6578054982114,880.9371196156904,-109.56871904214177,242.84341767012654,292.22764130276926
21,1070.8854468009806,1425.6236127269171,1058.6770467718056,1776.024647001775,778.6578054982114,810.8849987749869,-350.4010342748579,247.79204799681872,292.22764130276926
22,1070.8854468009806,1410.0418606543776,1058.6770467718056,1734.7386361399451,778.6578054982114,810.8849987749869,-324.6967754855675,247.79204799681872,292.22764130276926
23,1070.8854468009806,1025.763124285634,1058.6770467718056,1028.583663640266,778.6578054982114,810.8849987749869,-2.8205393546320465,247.79204799681872,292.22764130276926
24,1070.8854468009806,1424.048542646083,1015.9860268506814,1655.2831050733607,778.6578054982114,765.9000457978943,-231.23456242727775,250.08598105278702,292.22764130276926
25,1070.8854468009806,1257.0725776631439,1105.9640990132953,1618.2883076876287,778.6578054982114,854.1296927618237,-361.21573002448486,251.8344062514716,292.22764130276926
26,1070.8854468009806,1171.4204444524164,1050.6069123187494,1265.746847057148,778.6578054982114,796.7908598171789,-94.32640260473158,253.81605250157054,292.22764130276926
27,1070.8854468009806,1276.6168917712366,1050.6069123187494,1637.0269325505706,778.6578054982114,796.7908598171789,-360.41004077933394,253.81605250157054,292.22764130276926
28,1070.8854468009806,1411.392193185879,1229.7049233462383,1537.4333076785483,778.6578054982114,970.3820806101872,-126.0411144926693,259.32284273605103,292.22764130276926
29,1070.8854468009806,1205.2934138799212,1183.8936139497337,1289.8370198468988,778.6578054982114,922.6172762433775,-84.54360596697757,261.2763377063561,292.22764130276926
30,1070.8854468009806,1366.7350599493152,1183.8936139497337,1429.0601127405212,778.6578054982114,922.6172762433775,-62.32505279120596,261.2763377063561,292.22764130276926
31,1070.8854468009806,1292.8579602216762,1183.8936139497337,1373.7448459453653,778.6578054982114,922.6172762433775,-80.88688572368915,261.2763377063561,292.22764130276926
32,1070.8854468009806,1387.6285066926666,1183.8936139497337,1676.1447192703026,778.6578054982114,922.6172762433775,-288.516212577636,261.2763377063561,292.22764130276926
33,1070.8854468009806,1428.7734487929938,1183.8936139497337,1592.9042887932603,778.6578054982114,922.6172762433775,-164.13084000026652,261.2763377063561,292.22764130276926
34,1070.8854468009806,1444.9009447802707,1042.5277510352494,1633.0764982963703,778.6578054982114,781.2384156395344,-188.17555351609963,261.28933539571494,292.22764130276926
35,1070.8854468009806,1428.7734487929938,1195.576441046351,1592.9042887932603,778.6578054982114,929.6575393555294,-164.13084000026652,265.9189016908216,292.22764130276926
36,1070.8854468009806,1241.4079049273357,1072.4722958756397,1224.6983538626523,778.6578054982114,804.6849150743498,16.70955106468341,267.78738080128994,292.22764130276926
37,1070.8854468009806,1144.5374526835908,1072.4722958756397,1385.670618868575,778.6578054982114,804.6849150743498,-241.13316618498425,267.78738080128994,292.22764130276926
38,1070.8854468009806,1255.7329967545936,1072.4722958756397,1267.14942415465,778.6578054982114,804.6849150743498,-11.416427400056364,267.78738080128994,292.22764130276926
39,1070.8854468009806,1340.8894375481425,1072.4722958756397,1519.0357561779297,778.6578054982114,804.6849150743498,-178.14631862978717,267.78738080128994,292.22764130276926
40,1070.8854468009806,1262.8355135925653,1072.4722958756397,1283.7826455060354,778.6578054982114,804.6849150743498,-20.947131913470002,267.78738080128994,292.22764130276926
41,1070.8854468009806,1284.0919442681886,1072.4722958756397,1401.8530984591903,778.6578054982114,804.6849150743498,-117.76115419100165,267.78738080128994,292.22764130276926
42,1070.8854468009806,1422.287251077403,1072.4722958756397,1809.8452061767516,778.6578054982114,804.6849150743498,-387.55795509934865,267.78738080128994,292.22764130276926
43,1070.8854468009806,1466.2405385616614,1072.4722958756397,1894.9257528433532,778.6578054982114,804.6849150743498,-428.68521428169174,267.78738080128994,292.22764130276926
44,1070.8854468009806,1098.2015784901,1072.4722958756397,1146.3634468011699,778.6578054982114,804.6849150743498,-48.16186831106984,267.78738080128994,292.22764130276926
45,1070.8854468009806,1355.577657840583,1054.1414043935256,1520.9447932607409,778.6578054982114,786.2551760402821,-165.36713542015787,267.8862283532435,292.22764130276926
46,1070.8854468009806,1422.4343586538675,1054.1414043935256,1781.6515563919274,778.6578054982114,786.2551760402821,-359.2171977380599,267.8862283532435,292.22764130276926
47,1070.8854468009806,1323.2112036721312,1054.1414043935256,1434.2999876189826,778.6578054982114,786.2551760402821,-111.08878394685144,267.8862283532435,292.22764130276926
48,1070.8854468009806,1277.829805637512,1211.8708712207836,1647.232002558582,778.6578054982114,943.0339033458532,-369.4021969210701,268.83696787493034,292.22764130276926
49,1070.8854468009806,1227.5237358481074,1211.8708712207836,1501.238108559879,778.6578054982114,943.0339033458532,-273.7143727117716,268.83696787493034,292.22764130276926
50,1070.8854468009806,1377.521196747587,1211.8708712207836,1555.1405246683616,778.6578054982114,943.0339033458532,-177.6193279207746,268.83696787493034,292.22764130276926
51,1070.8854468009806,1311.5577756109174,1211.8708712207836,1459.3989631079407,778.6578054982114,943.0339033458532,-147.84118749702338,268.83696787493034,292.22764130276926
52,1070.8854468009806,1422.4343586538675,1211.8708712207836,1781.6515563919274,778.6578054982114,943.0339033458532,-359.2171977380599,268.83696787493034,292.22764130276926
