gen,max_PCE,min_PCE,med_PCE
1,16.009931644768393,12.632385315575352,13.72265014133195
2,16.2970908426218,13.241171063060538,14.386667748287827
3,16.560999193661697,14.344441557104561,15.49973824613405
4,16.66338863976625,13.626412483801985,15.948040976189297
5,16.697157698078996,14.038955132580167,16.23507807962097
6,17.07671355148409,14.31726192942066,16.377997515847262
7,17.096492594714512,13.336123994847684,16.486576049975227
8,18.000768487420345,15.33675912698805,16.618758264073346
9,18.000768487420345,13.708359581383872,16.69460454012944
10,18.622402085569625,14.140887476415315,16.750360764634234
11,18.642794338266544,15.354404826910525,16.83292270158547
12,18.642794338266544,14.229833173846314,17.0283441774335
13,19.78830033264497,15.796734222892336,17.07671355148409
14,19.812643749051873,15.476364934044167,17.194716198764244
15,19.87559488335071,15.809510912210833,18.1692471085741
16,20.066747955335842,16.770158647480837,18.642794338266544
17,20.066747955335842,15.530177908770273,19.46585314497902
18,20.209936032764844,16.58694839853402,19.670657982061837
19,20.209936032764844,16.60215747831311,19.670657982061837
20,20.209936032764844,16.228116101071755,19.691846142487208
21,20.454293609916952,16.778795989124973,19.701323294860487
22,20.454293609916952,16.440289798812795,19.701323294860487
23,20.454293609916952,16.164243621191943,19.722407400324812
24,20.797437703158696,16.055312342568875,19.770574157078176
25,20.797437703158696,15.998172472881192,19.779236580688877
26,20.797437703158696,17.359149871254814,19.78830033264497
27,20.797437703158696,16.173079111417046,19.79160640054893
28,20.797437703158696,15.809419468090994,19.80400731774378
29,20.797437703158696,16.204129941195006,19.812643749051873
30,20.797437703158696,15.663287184019492,19.820371387807988
31,20.797437703158696,15.66221775058886,19.87559488335071
32,20.797437703158696,16.10376018169282,19.935131893342934
33,20.797437703158696,15.911392715108878,19.98966114749478
34,20.797437703158696,16.706532737476753,19.98966114749478
35,20.797437703158696,17.597551507560397,19.99877617169374
36,20.797437703158696,16.459512364630303,20.038950560116533
37,20.797437703158696,16.375042493560287,20.0531029016413
38,20.797437703158696,16.837245099134172,20.066434562501716
39,20.797437703158696,16.415187935731158,20.066747955335842
40,20.797437703158696,16.58431610948721,20.097614167763396
41,20.797437703158696,17.286603452746167,20.10149923347465
42,20.797437703158696,17.062781925508958,20.10149923347465
43,20.797437703158696,16.944925974331333,20.10149923347465
44,20.797437703158696,15.850539101681104,20.10955513838353
45,20.797437703158696,16.58707132847387,20.113055503169388
46,20.797437703158696,16.59625456775961,20.152825994138368
47,20.797437703158696,16.49423626931505,20.209936032764844
48,20.797437703158696,16.38916404787433,20.218838239348596
49,20.797437703158696,17.433860552270367,20.218838239348596
50,20.797437703158696,16.57529800428791,20.2249503704913
51,20.797437703158696,16.071036652827047,20.2249503704913
52,20.797437703158696,17.178122021116092,20.269389756628396
53,20.797437703158696,16.32151778039444,20.269389756628396
54,20.797437703158696,16.667361007037087,20.269389756628396
55,20.797437703158696,17.965282265540306,20.269389756628396
56,20.797437703158696,15.748117283605573,20.269389756628396
57,20.797437703158696,17.14159744542211,20.269389756628396
58,20.797437703158696,16.952977062929424,20.269389756628396
59,20.797437703158696,16.426738925269483,20.269389756628396
60,20.797437703158696,16.916478840651642,20.269389756628396
61,20.797437703158696,16.611410923038257,20.269389756628396
62,20.797437703158696,16.850465173141174,20.269389756628396
63,20.797437703158696,17.279188187248824,20.269389756628396
64,20.797437703158696,16.731427227496646,20.280837627726477
65,20.797437703158696,17.13472700090921,20.280837627726477
