gen,filename,PCE,donor
4,36_94_117_94_36,15.123786,PBCT-2F,
4,35_27_41_27_35,13.626412,PBB-F,
5,65_162_86_41_65,16.697158,PBCT-2F,
5,65_41_86_162_65,16.663389,PBCT-2F,
5,25_27_86_27_25,16.560999,PBCT-2F,
5,9_41_86_159_9,16.519885,PBCT-2F,
5,9_6_117_6_9,16.400838,PBCT-2F,
5,9_6_86_159_15,16.389719,PBCT-2F,
5,15_89_86_89_9,16.377998,PBCT-2F,
5,36_6_86_6_1,16.342593,PBCT-2F,
5,9_143_86_143_15,16.330037,PBCT-2F,
5,15_89_86_162_9,16.305678,PBCT-2F,
5,25_27_86_27_15,16.303597,PBCT-2F,
5,38_6_86_6_4,16.302240,PBCT-2F,
5,9_41_117_162_9,16.297091,PBCT-2F,
5,9_41_86_162_15,16.288553,PBCT-2F,
5,36_6_86_6_4,16.253414,PBCT-2F,
5,38_6_86_6_38,16.235078,PBCT-2F,
5,9_162_86_162_15,16.229331,PBCT-2F,
5,9_162_86_41_15,16.228930,PBCT-2F,
5,35_6_86_6_15,16.195085,PBCT-2F,
5,36_6_86_6_36,16.181615,PBCT-2F,
5,4_6_86_46_4,16.102409,PBCT-2F,
5,36_6_117_143_27,16.081247,PBCT-2F,
5,38_41_86_162_15,16.049473,PBCT-2F,
5,35_6_86_6_35,16.009932,PBCT-2F,
5,5_6_86_6_4,16.005629,PBCT-2F,
5,15_41_104_159_9,15.961581,PBCT-2F,
5,15_94_104_126_9,15.948041,PBCT-2F,
5,5_72_86_162_4,15.899545,PBCT-2F,
5,35_6_86_128_35,15.536194,PBCT-2F,
5,35_6_127_6_35,15.088593,PBCT-2F,
5,27_143_8_6_36,14.126169,PBB-F,
5,15_27_88_27_15,14.038955,PBB-F,
6,9_50_86_50_15,17.076714,PBCT-2F,
6,65_162_86_41_65,16.697158,PBCT-2F,
6,25_162_86_162_25,16.695031,PBCT-2F,
6,65_41_86_162_65,16.663389,PBCT-2F,
6,25_6_86_6_1,16.617900,PBCT-2F,
6,65_41_86_41_65,16.608919,PBCT-2F,
6,9_6_86_6_15,16.589192,PBCT-2F,
6,9_41_86_61_9,16.571556,PBCT-2F,
6,25_27_86_27_25,16.560999,PBCT-2F,
6,9_41_86_159_9,16.519885,PBCT-2F,
6,25_6_117_6_25,16.488972,PBCT-2F,
6,9_27_86_27_15,16.432502,PBCT-2F,
6,15_6_86_6_15,16.415324,PBCT-2F,
6,9_6_117_6_9,16.400838,PBCT-2F,
6,9_6_86_159_15,16.389719,PBCT-2F,
6,15_89_86_89_9,16.377998,PBCT-2F,
6,36_6_86_6_1,16.342593,PBCT-2F,
6,9_143_86_143_15,16.330037,PBCT-2F,
6,15_89_86_162_9,16.305678,PBCT-2F,
6,25_27_86_27_15,16.303597,PBCT-2F,
6,38_6_86_6_4,16.302240,PBCT-2F,
6,9_41_117_162_9,16.297091,PBCT-2F,
6,9_41_86_162_15,16.288553,PBCT-2F,
6,38_6_86_152_38,16.286978,PBCT-2F,
6,36_6_86_6_4,16.253414,PBCT-2F,
6,9_6_117_6_15,16.236240,PBCT-2F,
6,38_6_86_6_38,16.235078,PBCT-2F,
6,38_162_86_41_38,15.907491,PBCT-2F,
6,15_6_26_6_9,15.756256,PBCT-2F,
6,9_41_86_149_37,15.697171,PBCT-2F,
6,38_96_86_96_4,15.365251,PBCT-2F,
6,9_6_6_6_9,14.317262,PBB-F,
7,15_50_86_50_9,17.096493,PBCT-2F,
7,9_50_86_50_15,17.076714,PBCT-2F,
7,35_50_86_50_9,16.832923,PBCT-2F,
7,25_6_86_6_25,16.750361,PBCT-2F,
7,9_6_86_61_9,16.720414,PBCT-2F,
7,65_162_86_41_65,16.697158,PBCT-2F,
7,25_162_86_162_25,16.695031,PBCT-2F,
7,65_41_86_162_65,16.663389,PBCT-2F,
7,25_6_86_6_1,16.617900,PBCT-2F,
7,65_41_86_41_65,16.608919,PBCT-2F,
7,9_6_86_6_15,16.589192,PBCT-2F,
7,9_41_86_61_9,16.571556,PBCT-2F,
7,25_27_86_27_25,16.560999,PBCT-2F,
7,9_41_86_159_9,16.519885,PBCT-2F,
7,25_6_117_6_25,16.488972,PBCT-2F,
7,25_63_86_63_25,16.486576,PBCT-2F,
7,9_92_86_92_9,16.459090,PBCT-2F,
7,9_27_86_27_15,16.432502,PBCT-2F,
7,65_41_100_162_65,16.430134,PBCT-2F,
7,15_6_86_6_15,16.415324,PBCT-2F,
7,9_89_86_89_15,16.413161,PBCT-2F,
7,9_6_117_6_9,16.400838,PBCT-2F,
7,9_6_86_159_15,16.389719,PBCT-2F,
7,9_162_86_41_9,16.379060,PBCT-2F,
7,15_89_86_89_9,16.377998,PBCT-2F,
7,15_41_86_41_9,16.212770,PBCT-2F,
7,25_163_117_163_25,16.159495,PBCT-2F,
7,15_27_86_159_15,16.102476,PBCT-2F,
7,44_89_86_89_15,16.098533,PBCT-2F,
7,15_41_86_41_15,16.065348,PBCT-2F,
7,9_89_72_89_15,13.856590,PBB-F,
7,25_27_95_27_25,13.336124,PBB-F,
8,9_6_86_6_39,18.000768,PBCT-2F,
8,25_50_86_50_25,17.239766,PBCT-2F,
8,15_50_86_50_9,17.096493,PBCT-2F,
8,9_50_86_50_15,17.076714,PBCT-2F,
8,25_71_86_71_1,16.924567,PBCT-2F,
8,35_50_86_50_9,16.832923,PBCT-2F,
8,65_6_86_6_65,16.763455,PBCT-2F,
8,25_6_86_6_25,16.750361,PBCT-2F,
8,9_6_86_61_9,16.720414,PBCT-2F,
8,65_6_86_106_65,16.698011,PBCT-2F,
8,65_162_86_41_65,16.697158,PBCT-2F,
8,25_162_86_162_25,16.695031,PBCT-2F,
8,65_27_86_27_65,16.681395,PBCT-2F,
8,65_41_86_162_65,16.663389,PBCT-2F,
8,25_6_86_13_44,16.652266,PBCT-2F,
8,25_63_86_162_25,16.618758,PBCT-2F,
8,25_6_86_6_1,16.617900,PBCT-2F,
8,65_41_86_41_65,16.608919,PBCT-2F,
8,9_6_86_6_15,16.589192,PBCT-2F,
8,9_41_86_61_9,16.571556,PBCT-2F,
8,25_32_117_32_25,16.566630,PBCT-2F,
8,25_27_86_27_25,16.560999,PBCT-2F,
8,9_41_86_159_9,16.519885,PBCT-2F,
8,25_6_117_6_25,16.488972,PBCT-2F,
8,25_63_86_63_25,16.486576,PBCT-2F,
8,25_41_86_41_25,16.426774,PBCT-2F,
8,9_61_86_117_17,16.416391,PBCT-2F,
8,9_63_86_82_0,16.396146,PBCT-2F,
8,25_159_86_159_34,16.135110,PBCT-2F,
8,65_41_86_63_35,15.979609,PBCT-2F,
8,65_41_86_41_5,15.608722,PBCT-2F,
8,22_61_86_41_22,15.336759,PBCT-2F,
9,9_6_86_6_39,18.000768,PBCT-2F,
9,25_50_86_50_25,17.239766,PBCT-2F,
9,65_50_86_50_15,17.108966,PBCT-2F,
9,15_50_86_50_9,17.096493,PBCT-2F,
9,9_50_86_50_15,17.076714,PBCT-2F,
9,25_71_86_71_25,17.029265,PBCT-2F,
9,25_71_86_71_1,16.924567,PBCT-2F,
9,65_12_86_6_65,16.862855,PBCT-2F,
9,35_50_86_50_9,16.832923,PBCT-2F,
9,65_6_86_6_65,16.763455,PBCT-2F,
9,25_6_86_6_25,16.750361,PBCT-2F,
9,9_6_86_61_9,16.720414,PBCT-2F,
9,65_6_86_106_65,16.698011,PBCT-2F,
9,65_162_86_41_65,16.697158,PBCT-2F,
9,25_162_86_162_25,16.695031,PBCT-2F,
9,15_50_86_131_15,16.694605,PBCT-2F,
9,15_50_86_8_0,16.692503,PBCT-2F,
9,65_27_86_27_65,16.681395,PBCT-2F,
9,65_41_86_162_65,16.663389,PBCT-2F,
9,25_6_86_13_44,16.652266,PBCT-2F,
9,25_162_86_162_9,16.628924,PBCT-2F,
9,25_63_86_162_25,16.618758,PBCT-2F,
9,44_6_86_13_25,16.565785,PBCT-2F,
